"aucMean","aucStd","bestRound"
0.8404212,0.0095156,670.2
0.8414114,0.0084978,728.6
0.8420084,0.008666,768.5
0.8404954,0.0078566,671.142857142857
0.8405516,0.00581,621.4
0.8415306,0.007921,687.4
0.8409232,0.0049184,623.4
0.8410362,0.0132628,710
0.8408316,0.0081054,623.5
0.840065,0.0028606,666.6
0.841256,0.007182,711
0.8392882,0.0066208,649.6
0.8404394,0.0064256,620.6
0.8392918,0.0041696,629
0.8405414,0.0054168,613.2
0.840095,0.0037082,584.6
0.8402674,0.0108686,704.8
0.8406912,0.0114342,698.2
0.83976,0.0030996,679.2
0.8404352,0.0068704,741.6
0.8407616,0.0090846,688.4
0.8401552,0.0040916,676
0.8388888,0.0099562,665.4
0.8394382,0.0065242,691.8
0.8404012,0.0059312,792.2
0.8412142,0.0057586,758.4
0.8399916,0.0055512,702.8
0.8409084,0.0019318,661.4
0.8410382,0.008343,701.833333333333
0.8397774,0.005102,685
0.8409534,0.0056084,729
0.8407584,0.0071918,657.4
0.8394828,0.0084124,680.6
0.8401806,0.0078046,605.6
0.8401152,0.0055258,716
0.840899,0.0066564,668
0.839789,0.010754,706
0.8399918,0.0027842,668.5
0.8402468,0.0089982,714.6
0.8401618,0.0058708,606.6
0.8408686,0.0046208,680.166666666667
0.8397538,0.0054138,680.5
0.8403284,0.0089574,698
0.8417342,0.0027834,647.8
0.8396098,0.010594,663
0.8411046,0.0089738,780.857142857143
0.841586,0.0053358,679.2
0.8410382,0.0032818,692.2
0.840333,0.0065016,747
0.8417538,0.0099388,808
