"ftrSelected","aucMean","aucStd"
"saldo_var30",0,0
"var15",0,0
"var38",0,0
"imp_op_var39_ult1",0.8279802,0.00634417760715375
"num_med_var22_ult3",0.8307935,0.00515890275263172
"saldo_medio_var5_hace3",0.8325193,0.00553289046520894
"num_var30_0",0.8356441,0.00438537350366724
"var36",0.8367308,0.00349788856311916
"num_var45_ult3",0.8366594,0.00539271919041468
"new_num_group5_prcnt",0.8370451,0.00527755346201671
"abs_f_diff_saldo_var5_30",0.8368913,0.00609306883178656
"f_diff_var_15_larger",0.8385503,0.00438500138223719
"f_num_non_zero_sum_ind",0.8377661,0.00388963901352756
"abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1",0.8378732,0.00467870370936223
"num_var42",0.8386859,0.00446303866216731
"f_diff_num_var22_ult3_num_med_var45_ult3",0.8385447,0.00463390881438123
"imp_op_var39_comer_ult3",0.8380915,0.00512948111410893
"f_diff_saldo_var5_saldo_medio_var5_hace2",0.8381251,0.00508747414844647
"f_diff_imp_op_var41_efect_comer_ult1",0.8389302,0.00434218743645795
