Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
3,0.5,0.7,0.7,0.1,1,0,0.839015,0.012077,119.8
3,1,0.7,0.7,0.1,1,0,0.8400058,0.0070518,144.8
3,2,0.7,0.7,0.1,1,0,0.8398374,0.0134638,135.4
3,3,0.7,0.7,0.1,1,0,0.8390198,0.0104142,140.4
3,4,0.7,0.7,0.1,1,0,0.8386794,0.0119776,114.6
4,0.5,0.7,0.7,0.1,1,0,0.8399454,0.012867,91
4,1,0.7,0.7,0.1,1,0,0.8396706,0.0075862,102.666666666667
4,2,0.7,0.7,0.1,1,0,0.8394154,0.0063302,85.2
4,3,0.7,0.7,0.1,1,0,0.8399692,0.0108954,83.6
4,4,0.7,0.7,0.1,1,0,0.8389464,0.0074482,98
5,0.5,0.7,0.7,0.1,1,0,0.84044,0.006366,77.4
5,1,0.7,0.7,0.1,1,0,0.839758,0.011944,63
5,2,0.7,0.7,0.1,1,0,0.8398256,0.011391,77
5,3,0.7,0.7,0.1,1,0,0.8402696,0.0133076,60
5,4,0.7,0.7,0.1,1,0,0.8398878,0.0090566,83.4
6,0.5,0.7,0.7,0.1,1,0,0.8392974,0.007143,69
6,1,0.7,0.7,0.1,1,0,0.8407048,0.0077192,63
6,2,0.7,0.7,0.1,1,0,0.8395678,0.005765,77
6,3,0.7,0.7,0.1,1,0,0.8403016,0.0055052,64.4
6,4,0.7,0.7,0.1,1,0,0.8396274,0.008815,67
