Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,4,0.5,0.3,0.01,1,0.7,0.8415486,0.0103604,906.8
5,4,0.5,0.35,0.01,1,0.7,0.842234,0.0069388,774.2
5,4,0.5,0.4,0.01,1,0.7,0.8422874,0.0078346,845
5,4,0.5,0.45,0.01,1,0.7,0.8418312,0.0081528,788.2
5,4,0.5,0.5,0.01,1,0.7,0.8419364,0.0072476,805.8
5,4,0.5,0.55,0.01,1,0.7,0.8419704,0.0111826,799.8
5,4,0.5,0.6,0.01,1,0.7,0.8423592,0.0090844,830
5,4,0.5,0.65,0.01,1,0.7,0.8416248,0.0110804,806.2
5,4,0.5,0.7,0.01,1,0.7,0.8411756,0.008849,709.6
5,4,0.5,0.75,0.01,1,0.7,0.8413644,0.0090238,770.6
5,4,0.5,0.8,0.01,1,0.7,0.8420302,0.0047528,765.5
5,4,0.55,0.3,0.01,1,0.7,0.842578,0.010239,847.2
5,4,0.55,0.35,0.01,1,0.7,0.8424024,0.0058534,817.5
5,4,0.55,0.4,0.01,1,0.7,0.8424778,0.0090508,706.6
5,4,0.55,0.45,0.01,1,0.7,0.8416494,0.0103936,814.6
5,4,0.55,0.5,0.01,1,0.7,0.840845,0.0092182,674.4
5,4,0.55,0.55,0.01,1,0.7,0.8427418,0.0085186,840
5,4,0.55,0.6,0.01,1,0.7,0.8425366,0.013345,861
5,4,0.55,0.65,0.01,1,0.7,0.8419512,0.0065812,837.4
5,4,0.55,0.7,0.01,1,0.7,0.84125,0.0104708,840.8
5,4,0.55,0.75,0.01,1,0.7,0.8422252,0.0069678,837.6
5,4,0.55,0.8,0.01,1,0.7,0.8416786,0.005655,727.6
5,4,0.6,0.3,0.01,1,0.7,0.841753,0.0099158,951
5,4,0.6,0.35,0.01,1,0.7,0.842072,0.008189,848.2
5,4,0.6,0.4,0.01,1,0.7,0.8412646,0.0085976,700.833333333333
5,4,0.6,0.45,0.01,1,0.7,0.8421706,0.005772,857.4
5,4,0.6,0.5,0.01,1,0.7,0.8420948,0.0072506,778.8
5,4,0.6,0.55,0.01,1,0.7,0.8424516,0.010256,801.4
5,4,0.6,0.6,0.01,1,0.7,0.8425582,0.0088232,831.6
5,4,0.6,0.65,0.01,1,0.7,0.8423012,0.0072982,848
5,4,0.6,0.7,0.01,1,0.7,0.8413206,0.0074788,830.6
5,4,0.6,0.75,0.01,1,0.7,0.8417022,0.0094184,802
5,4,0.6,0.8,0.01,1,0.7,0.8420498,0.0053276,910
5,4,0.65,0.3,0.01,1,0.7,0.8415664,0.011821,689
5,4,0.65,0.35,0.01,1,0.7,0.8410736,0.010534,827.333333333333
5,4,0.65,0.4,0.01,1,0.7,0.8426662,0.0045006,984.6
5,4,0.65,0.45,0.01,1,0.7,0.842509,0.0100582,872
