Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,4,0.5,0.3,0.01,1,0.5,0.842869,0.0060402,996.2
5,4,0.5,0.35,0.01,1,0.5,0.8424284,0.0085262,899.8
5,4,0.5,0.4,0.01,1,0.5,0.8429606,0.007097,853.8
5,4,0.5,0.45,0.01,1,0.5,0.8424842,0.0105888,905.2
5,4,0.5,0.5,0.01,1,0.5,0.8425134,0.0048326,898.5
5,4,0.5,0.55,0.01,1,0.5,0.8421898,0.0099092,805
5,4,0.5,0.6,0.01,1,0.5,0.8408784,0.008587,761.4
5,4,0.5,0.65,0.01,1,0.5,0.8426236,0.009662,900.2
5,4,0.5,0.7,0.01,1,0.5,0.8424386,0.0074454,809.4
5,4,0.5,0.75,0.01,1,0.5,0.8414922,0.0033028,755.333333333333
5,4,0.5,0.8,0.01,1,0.5,0.8416628,0.0101624,738
5,4,0.55,0.3,0.01,1,0.5,0.8423858,0.0102806,941.4
5,4,0.55,0.35,0.01,1,0.5,0.8422454,0.008595,927.8
5,4,0.55,0.4,0.01,1,0.5,0.8423408,0.0055934,763
5,4,0.55,0.45,0.01,1,0.5,0.8417334,0.00449,945.666666666667
5,4,0.55,0.5,0.01,1,0.5,0.8426352,0.0059822,941
5,4,0.55,0.55,0.01,1,0.5,0.8419394,0.0068872,915.4
5,4,0.55,0.6,0.01,1,0.5,0.8417276,0.0079648,898.2
5,4,0.55,0.65,0.01,1,0.5,0.8420054,0.010657,829.8
5,4,0.55,0.7,0.01,1,0.5,0.8421614,0.0055062,839.5
5,4,0.55,0.75,0.01,1,0.5,0.8413204,0.0124504,684
5,4,0.55,0.8,0.01,1,0.5,0.8412768,0.0131676,777.428571428571
5,4,0.6,0.3,0.01,1,0.5,0.841865,0.0073138,907.2
5,4,0.6,0.35,0.01,1,0.5,0.8423164,0.0136302,866.4
5,4,0.6,0.4,0.01,1,0.5,0.8417864,0.0041008,865.833333333333
5,4,0.6,0.45,0.01,1,0.5,0.841564,0.0113476,909.8
5,4,0.6,0.5,0.01,1,0.5,0.8421984,0.0071234,674.4
5,4,0.6,0.55,0.01,1,0.5,0.8419522,0.0092316,767.4
5,4,0.6,0.6,0.01,1,0.5,0.8426634,0.0164956,774.2
5,4,0.6,0.65,0.01,1,0.5,0.8417192,0.0125496,847.4
5,4,0.6,0.7,0.01,1,0.5,0.8414776,0.009983,718.4
5,4,0.6,0.75,0.01,1,0.5,0.8419158,0.0080104,759.4
5,4,0.6,0.8,0.01,1,0.5,0.8422202,0.009843,746.8
5,4,0.65,0.3,0.01,1,0.5,0.8423442,0.0136448,923.2
5,4,0.65,0.35,0.01,1,0.5,0.8417586,0.006779,663.6
5,4,0.65,0.4,0.01,1,0.5,0.8415582,0.009307,840.6
5,4,0.65,0.45,0.01,1,0.5,0.8423444,0.0049438,708
5,4,0.65,0.5,0.01,1,0.5,0.8419972,0.0129036,907.833333333333
5,4,0.65,0.55,0.01,1,0.5,0.842262,0.0111662,783
5,4,0.65,0.6,0.01,1,0.5,0.8420182,0.0103922,908
5,4,0.65,0.65,0.01,1,0.5,0.8419792,0.0075866,833.8
5,4,0.65,0.7,0.01,1,0.5,0.8424036,0.0092638,802.6
5,4,0.65,0.75,0.01,1,0.5,0.8423014,0.0055258,903
5,4,0.65,0.8,0.01,1,0.5,0.8421808,0.0131608,794.2
5,4,0.7,0.3,0.01,1,0.5,0.8418026,0.0070654,831.4
5,4,0.7,0.35,0.01,1,0.5,0.8424086,0.0108598,955.4
5,4,0.7,0.4,0.01,1,0.5,0.8425972,0.0036672,725.6
5,4,0.7,0.45,0.01,1,0.5,0.8415352,0.0109286,759.166666666667
5,4,0.7,0.5,0.01,1,0.5,0.8419444,0.00804,815.6
5,4,0.7,0.55,0.01,1,0.5,0.8419016,0.0072818,879.8
5,4,0.7,0.6,0.01,1,0.5,0.8414644,0.0088196,884.5
5,4,0.7,0.65,0.01,1,0.5,0.8410378,0.007801,860
5,4,0.7,0.7,0.01,1,0.5,0.841731,0.008801,866
5,4,0.7,0.75,0.01,1,0.5,0.842196,0.0101358,829
5,4,0.7,0.8,0.01,1,0.5,0.8425096,0.0038764,917.6
5,4,0.75,0.3,0.01,1,0.5,0.842519,0.0065832,850.8
