Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
6,2,0.5,0.3,0.01,1,1,0.841994,0.0086722,732
6,2,0.5,0.35,0.01,1,1,0.8425684,0.0100008,747.6
6,2,0.5,0.4,0.01,1,1,0.8420966,0.0096554,795.8
6,2,0.5,0.45,0.01,1,1,0.8419522,0.008309,720
6,2,0.5,0.5,0.01,1,1,0.8412004,0.0095404,576
6,2,0.5,0.55,0.01,1,1,0.8428344,0.0110894,599.6
6,2,0.5,0.6,0.01,1,1,0.842212,0.0085172,712.666666666667
6,2,0.5,0.65,0.01,1,1,0.8420318,0.0113492,689.2
6,2,0.5,0.7,0.01,1,1,0.8415492,0.0071036,652.8
6,2,0.5,0.75,0.01,1,1,0.8418654,0.0109344,637
6,2,0.5,0.8,0.01,1,1,0.8426932,0.0078872,721
6,2,0.55,0.3,0.01,1,1,0.843228,0.0089244,856.4
6,2,0.55,0.35,0.01,1,1,0.8427438,0.0093544,752.6
6,2,0.55,0.4,0.01,1,1,0.8422386,0.0126558,709.8
6,2,0.55,0.45,0.01,1,1,0.8403174,0.008737,704.6
6,2,0.55,0.5,0.01,1,1,0.8418254,0.0053044,749.166666666667
6,2,0.55,0.55,0.01,1,1,0.84161,0.0103368,670.6
6,2,0.55,0.6,0.01,1,1,0.8415292,0.0081324,735.6
6,2,0.55,0.65,0.01,1,1,0.8412382,0.0090006,703.625
6,2,0.55,0.7,0.01,1,1,0.8416428,0.0132204,738.6
6,2,0.55,0.75,0.01,1,1,0.8413136,0.0074916,657.833333333333
6,2,0.55,0.8,0.01,1,1,0.8411308,0.0100082,710.2
6,2,0.6,0.3,0.01,1,1,0.8416158,0.0065536,778.4
6,2,0.6,0.35,0.01,1,1,0.841691,0.0108188,712
6,2,0.6,0.4,0.01,1,1,0.8420088,0.0077608,725.166666666667
6,2,0.6,0.45,0.01,1,1,0.8426348,0.0140472,783.6
6,2,0.6,0.5,0.01,1,1,0.8410462,0.011106,658.6
6,2,0.6,0.55,0.01,1,1,0.8416078,0.0025384,679.2
6,2,0.6,0.6,0.01,1,1,0.8413092,0.0093218,639.333333333333
6,2,0.6,0.65,0.01,1,1,0.84186,0.0064924,663
6,2,0.6,0.7,0.01,1,1,0.8410866,0.0122744,778.8
6,2,0.6,0.75,0.01,1,1,0.8420194,0.0065682,743.428571428571
6,2,0.6,0.8,0.01,1,1,0.8410342,0.0067418,619.8
6,2,0.65,0.3,0.01,1,1,0.841957,0.0101598,815.6
6,2,0.65,0.35,0.01,1,1,0.841332,0.009112,773.333333333333
6,2,0.65,0.4,0.01,1,1,0.841519,0.0098458,759.4
6,2,0.65,0.45,0.01,1,1,0.8422196,0.0069084,716
6,2,0.65,0.5,0.01,1,1,0.8418122,0.0067386,710.8
6,2,0.65,0.55,0.01,1,1,0.84171,0.0030746,740
6,2,0.65,0.6,0.01,1,1,0.8419658,0.0065054,730.166666666667
6,2,0.65,0.65,0.01,1,1,0.8409388,0.0072306,773
6,2,0.65,0.7,0.01,1,1,0.8418924,0.012226,709.8
6,2,0.65,0.75,0.01,1,1,0.8409596,0.0116148,704.8
6,2,0.65,0.8,0.01,1,1,0.8415266,0.0088056,664
6,2,0.7,0.3,0.01,1,1,0.8419084,0.0104946,735
6,2,0.7,0.35,0.01,1,1,0.841758,0.0084336,724.333333333333
6,2,0.7,0.4,0.01,1,1,0.8415606,0.008698,702.4
6,2,0.7,0.45,0.01,1,1,0.8411592,0.0085372,729.2
6,2,0.7,0.5,0.01,1,1,0.841646,0.0051826,630.2
6,2,0.7,0.55,0.01,1,1,0.8420482,0.0100162,681
6,2,0.7,0.6,0.01,1,1,0.8420848,0.0119266,765.4
6,2,0.7,0.65,0.01,1,1,0.8416852,0.0111938,669
6,2,0.7,0.7,0.01,1,1,0.84104,0.00613,680.6
6,2,0.7,0.75,0.01,1,1,0.841048,0.005998,776.4
6,2,0.7,0.8,0.01,1,1,0.841605,0.0092692,729
6,2,0.75,0.3,0.01,1,1,0.841682,0.007976,799.6
6,2,0.75,0.35,0.01,1,1,0.8406986,0.0095144,709
6,2,0.75,0.4,0.01,1,1,0.8412084,0.0111942,644.8
6,2,0.75,0.45,0.01,1,1,0.8414782,0.007312,718
6,2,0.75,0.5,0.01,1,1,0.8422752,0.0100344,803
6,2,0.75,0.55,0.01,1,1,0.8405456,0.00821,673.5
6,2,0.75,0.6,0.01,1,1,0.8408134,0.0085076,730
6,2,0.75,0.65,0.01,1,1,0.8410698,0.007793,676
6,2,0.75,0.7,0.01,1,1,0.8418998,0.007256,750.142857142857
6,2,0.75,0.75,0.01,1,1,0.8415756,0.0059488,670.6
6,2,0.75,0.8,0.01,1,1,0.8407342,0.0109032,746.666666666667
6,2,0.8,0.3,0.01,1,1,0.8418632,0.0083512,835.4
6,2,0.8,0.35,0.01,1,1,0.8416842,0.0045634,741.166666666667
6,2,0.8,0.4,0.01,1,1,0.8422308,0.0100152,688
6,2,0.8,0.45,0.01,1,1,0.841669,0.0115536,709.8
6,2,0.8,0.5,0.01,1,1,0.8400048,0.0105782,693.5
6,2,0.8,0.55,0.01,1,1,0.8409512,0.0097798,778.2
6,2,0.8,0.6,0.01,1,1,0.8408468,0.0112276,740.5
6,2,0.8,0.65,0.01,1,1,0.8413136,0.0081382,748.5
6,2,0.8,0.7,0.01,1,1,0.8401208,0.0076898,712.8
6,2,0.8,0.75,0.01,1,1,0.8421588,0.006565,785.4
6,2,0.8,0.8,0.01,1,1,0.8410816,0.0080698,693.6
