Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,0.5,0.7,0.7,0.01,1,0,0.8407896,0.0104398,1021.6
4,1,0.7,0.7,0.01,1,0,0.8421672,0.0090884,1173.8
4,2,0.7,0.7,0.01,1,0,0.8412326,0.005185,939.4
4,3,0.7,0.7,0.01,1,0,0.8418756,0.0084122,1038
4,4,0.7,0.7,0.01,1,0,0.842012,0.0101318,1037.6
5,0.5,0.7,0.7,0.01,1,0,0.8415496,0.0099698,788.571428571429
5,1,0.7,0.7,0.01,1,0,0.84143,0.0092398,816.4
5,2,0.7,0.7,0.01,1,0,0.8418056,0.0059768,847.2
5,3,0.7,0.7,0.01,1,0,0.8419832,0.011685,813
5,4,0.7,0.7,0.01,1,0,0.841481,0.0136812,784
6,0.5,0.7,0.7,0.01,1,0,0.8417742,0.0093848,666.2
6,1,0.7,0.7,0.01,1,0,0.8415254,0.0106986,675.4
6,2,0.7,0.7,0.01,1,0,0.8407762,0.0079952,655.4
6,3,0.7,0.7,0.01,1,0,0.8417892,0.0085586,760.2
6,4,0.7,0.7,0.01,1,0,0.8409536,0.0105786,751.6
