"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"saldo_medio_var5_hace3","f_diff_var_15_var_38","saldo_var8","num_meses_var39_vig_ult3","abs_f_diff_saldo_var5_30","num_var35","saldo_var30","abs_f_ratio_num_var30_saldo_var30","num_var4","var15","saldo_var5","num_meses_var5_ult3","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var36","abs_f_diff_saldo_medio_var5_ult13","new_num_sum","abs_f_diff_saldo_var5_42","0.832614","0.829729","0.825848","0.806165","0.816859","0.824917","0.832143","0.822571","0.828358","0.835652"
"num_var42","f_diff_num_var30_4","max.saldo","f_ratio_num_var42_saldo_var42","saldo_var5","num_quantile_diff_3","var15","f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_ult3","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_cutpoint_smaller","num_var35","f_diff_var_15_var_36_rank","var15_ratio","nonzerocount.saldo","sald0_quantile_diff_2","f_diff_var_15_larger","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.829139","0.830956","0.824966","0.815175","0.817422","0.819718","0.824274","0.814358","0.82307","0.835423"
"ind_comb_rank","new_ftr_ult1_ult3_ratio_saldo_medio_var5","max.saldo","saldo_var42","ind_var5","f_num_non_zero_sum_ind","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_var30","f_num_quan_70_sum_saldo","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_38","f_ratio_num_var42_saldo_var42","num_var35","abs_f_ratio_num_var30_saldo_var30","new_num_group5_prcnt","num_meses_var5_ult3","var15_ratio","0.83207","0.826393","0.830088","0.814183","0.833649","0.823205","0.831937","0.816527","0.820341","0.836813"
"var15","f_ratio_num_var42_saldo_var42","num_of_used","new_num_group5_prcnt","saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","imp_op_var41_comer_ult1","f_diff_var_15_var_38","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_var30_0","abs_f_ratio_num_var30_saldo_var30","sald0_quantile_diff_2","f_diff_imp_op_var41_efect_ult13","saldo_medio_var5_ult1","new_num_var30_0","num_var45_ult1","0.828631","0.834187","0.834804","0.8078","0.834819","0.826468","0.837091","0.821335","0.822068","0.839446"
"f_diff_var_15_var_38","num_var45_hace2","abs_f_diff_imp_op_var41_efect_comer_ult1","new_num_var5_0","new_ind_var30_0","new_num_sum","new_num_group5_sum","saldo_medio_var5_hace2","f_num_3_sum_num","num_var42","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace2","var38_ratio","new_ind_var5_0","f_diff_var_15_var_36_less_60","new_num_prcnt","f_diff_var_15_var_36_rank","var15","0.835948","0.837381","0.833287","0.820077","0.808122","0.826945","0.834573","0.820268","0.810628","0.836266"
"num_var42","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_larger","new_num_prcnt","f_diff_var_15_var_36_rank","var38","f_diff_var_15_var_36_less_60","saldo_var42","f_diff_num_var30_4","f_diff_var_15_var_36_cutpoint_smaller","num_var45_hace2","num_meses_var5_ult3","num_of_used","imp_op_var39_comer_ult3","imp_op_var39_efect_ult3","saldo_medio_var5_ult3","saldo_medio_var5_hace2","num_var5","0.836703","0.838493","0.832183","0.80891","0.833353","0.825938","0.831571","0.819399","0.829482","0.841173"
"num_of_used","num_var4","num_med_var45_ult3","f_ratio_num_var42_saldo_var42","num_quantile_diff_3","nonzerocount.saldo","sald0_quantile_diff_2","num_var42","num_meses_var39_vig_ult3","new_ind_group5_sum","var36","saldo_var42","f_diff_var_15_var_36_rank","new_num_group5_prcnt","new_ind_sum","f_num_non_zero_sum_ind","f_diff_var_15_var_38","saldo_var30","0.839496","0.83943","0.816774","0.803139","0.820106","0.804513","0.81542","0.803376","0.811454","0.823767"
"imp_op_var39_ult1","num_meses_var5_ult3","f_diff_var_15_var_36_less_60","f_diff_num_var30_4","new_num_group5_prcnt","new_ind_sum","f_diff_var_15_var_36_rank","max.saldo","abs_f_diff_num_var30_4","sald0_quantile_diff_3","var38_ratio","new_ftr_ult1_ult3_ratio_num_var45","saldo_var42","num_med_var45_ult3","saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var5_0","0.838448","0.813996","0.840494","0.828272","0.834908","0.825125","0.836776","0.824069","0.832528","0.844131"
"nonzerocount.saldo","new_num_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_ult1","var15","abs_f_diff_num_var30_4","num_var22_hace2","new_num_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_hace3","f_diff_imp_op_var41_efect_comer_ult1","new_ftr_ult1_ult3_ratio_imp_op_var39_comer","num_var42","f_diff_num_var30_4","saldo_medio_var8_ult3","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","0.815544","0.815895","0.811128","0.809058","0.813206","0.810152","0.814225","0.805378","0.820538","0.824251"
"abs_f_ratio_num_var5_saldo_var5","var15_ratio","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_less_60","num_var42","num_of_used","new_num_sum","var38_ratio","imp_var43_emit_ult1","imp_trans_var37_ult1","f_diff_num_var30_4","new_num_var30_0","sald0_quantile_diff_3","new_ind_sum","saldo_medio_var5_hace3","new_num_prcnt","abs_f_ratio_num_var30_saldo_var30","f_diff_num_var22_ult3_num_med_var45_ult3","0.832772","0.827593","0.819426","0.815096","0.822335","0.828305","0.836697","0.824739","0.820895","0.836451"
