"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"ind_var30","f_diff_var_15_larger","saldo_var5","new_num_sum","saldo_var8","num_var45_ult3","f_diff_var_15_var_36_less_60","num_var22_ult3","nonzerocount.saldo","num_var30_0","abs_f_ratio_num_var5_saldo_var5","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","new_ind_group5_sum","imp_op_var41_efect_ult1","var38","imp_op_var39_efect_ult3","num_var22_hace3","saldo_medio_var5_ult1","0.819803","0.820525","0.814967","0.811794","0.817406","0.810093","0.818301","0.804358","0.813104","0.823102"
"f_num_non_zero_sum_ind","var36","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","sald0_quantile_diff_3","var38","f_ratio_num_var42_saldo_var42","abs_f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_hace3","f_diff_num_var30_4","new_ind_sum","max.saldo","num_var42","var15","num_var8_0","new_num_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","new_num_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","0.837642","0.839574","0.833938","0.819601","0.816638","0.825698","0.834022","0.823047","0.802272","0.845305"
"f_diff_saldo_var5_saldo_medio_var5_ult1","new_ind_var5_0","f_diff_saldo_medio_var5_8_ult11","num_var30","var38_ratio","saldo_medio_var5_hace2","saldo_medio_var5_ult1","num_var45_hace3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","imp_op_var39_ult1","saldo_medio_var5_hace3","f_diff_var_15_var_36_less_60","f_ratio_num_var42_saldo_var42","imp_ent_var16_ult1","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_hace2","var15","new_ind_sum","0.837136","0.837804","0.835167","0.824099","0.833848","0.829076","0.835707","0.823901","0.832963","0.844732"
"saldo_medio_var5_hace3","f_diff_num_var30_4","saldo_medio_var5_ult1","num_var30","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_var30_0","abs_f_diff_imp_op_var41_efect_comer_ult1","num_var45_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","max.saldo","saldo_var30","var38","var15","new_ind_var30_0","f_num_3_sum_num","var36","f_diff_var_15_var_36_cutpoint_smaller","0.839702","0.840374","0.837707","0.818087","0.835357","0.812456","0.826048","0.809287","0.828846","0.846611"
"var38_ratio","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_hace3","var15_ratio","ind_comb_rank","new_num_var30_0","saldo_medio_var5_hace2","f_diff_var_15_var_36_less_60","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var30","f_diff_saldo_medio_var5_ult13","new_ind_sum","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ftr_ult1_ult3_ratio_num_var45","num_var45_ult3","num_quantile_diff_3","abs_f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","0.820069","0.822675","0.804286","0.808438","0.823359","0.807431","0.83377","0.802711","0.828823","0.835776"
"num_quantile_diff_1","imp_op_var41_comer_ult1","f_diff_num_var30_4","new_num_prcnt","new_num_var30_0","new_ftr_ult1_ult3_ratio_num_var45","new_ftr_ult1_ult3_ratio_imp_op_var39_comer","new_num_sum","f_diff_var_15_var_36_rank","ind_comb_rank","n0","num_var42","num_var4","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_of_used","saldo_medio_var5_hace3","var15","new_ind_var5_0","num_var22_hace2","0.824722","0.827728","0.820076","0.804848","0.822669","0.803008","0.81683","0.801833","0.817506","0.830362"
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_var42","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var8_ult1","num_var45_hace2","f_num_non_zero_sum_ind","f_diff_var_15_larger","var38_ratio","new_num_group5_prcnt","new_num_var5_0","f_diff_saldo_medio_var5_8_ult11","sald0_quantile_diff_1","f_diff_var_15_var_38","new_num_sum","var15_ratio","f_num_quan_70_sum_saldo","imp_op_var41_ult1","ind_comb_rank","num_meses_var5_ult3","0.840025","0.825012","0.834524","0.821312","0.834262","0.807964","0.835224","0.822329","0.81157","0.84629"
"new_ftr_ult1_ult3_ratio_num_var22","abs_f_diff_saldo_var5_30","num_var42","imp_op_var39_efect_ult1","abs_f_diff_saldo_medio_var5_8_ult11","var15","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","imp_op_var41_ult1","new_num_group5_prcnt","saldo_var5","saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_ult13","var38","num_var22_hace3","abs_f_ratio_num_var5_saldo_var5","sald0_quantile_diff_2","ind_var5","new_num_prcnt","0.838","0.825732","0.837234","0.806425","0.836703","0.828552","0.83886","0.824524","0.833668","0.833817"
"sald0_quantile_diff_3","var15","new_num_prcnt","num_meses_var5_ult3","saldo_medio_var8_ult3","new_ind_0_group5_sum","saldo_medio_var5_ult3","new_ind_sum","f_diff_var_15_larger","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_hace2","num_med_var45_ult3","num_med_var22_ult3","saldo_medio_var5_ult1","var38_ratio","f_diff_imp_op_var39_comer_ult13","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_var5_0","0.839173","0.837848","0.804848","0.823409","0.8343","0.828269","0.836351","0.823129","0.831617","0.842698"
"num_var45_hace3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_num_var45_ult13","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_30","f_diff_var_15_var_36_less_60","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var45_hace2","saldo_medio_var8_ult1","f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_medio_var5_ult13","new_ftr_ult1_ult3_ratio_num_var45","saldo_var37","imp_trans_var37_ult1","max.saldo","num_quantile_diff_3","var15","num_of_used","0.823704","0.825149","0.814983","0.810764","0.825802","0.8111","0.8277","0.803808","0.815161","0.835361"
"abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","n0","f_num_non_zero_sum_ind","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_ftr_ult1_ult3_ratio_num_var45","num_var45_hace2","saldo_medio_var5_hace3","num_meses_var39_vig_ult3","f_diff_var_15_var_38","abs_f_diff_num_var30_4","new_num_sum","saldo_var42","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_group5_prcnt","new_num_group5_sum","f_num_quan_70_sum_saldo","var15","f_diff_var_15_var_36_rank","0.840143","0.840274","0.835269","0.807337","0.835944","0.828849","0.836046","0.824429","0.831827","0.836689"
"new_ind_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_less_60","f_diff_saldo_medio_var5_ult13","nonzerocount.saldo","f_diff_num_var30_4","f_diff_var_15_var_36_cutpoint_smaller","max.saldo","num_var35","abs_f_ratio_num_var30_saldo_var30","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_medio_var5_ult1","f_diff_num_var45_ult13","f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_hace2","saldo_medio_var8_ult1","n0","var38","abs_f_diff_saldo_medio_var5_ult13","0.834647","0.823477","0.830312","0.815096","0.815142","0.819169","0.827749","0.804545","0.807295","0.839852"
