"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6"
"f_diff_var_15_var_38","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","sald0_quantile_diff_2","saldo_var30","ind_comb_rank","f_diff_var_15_var_36_rank","n0","num_var22_ult3","var36","saldo_medio_var5_hace3","num_var4","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_quantile_diff_3","var38","var15","saldo_medio_var5_ult3","nonzerocount.num","num_var45_hace3","var15_ratio","new_ftr_ult1_ult3_ratio_saldo_medio_var5","0.841712","0.83575","0.837038","0.825742","0.836668","0.830744"
"f_diff_saldo_var5_saldo_medio_var5_hace2","var15_ratio","var15","nonzerocount.saldo","new_ind_var30_0","nonzerocount.num","new_ind_sum","ind_comb_rank","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_larger","abs_f_ratio_num_var30_saldo_var30","new_num_sum","var38","new_num_group5_sum","f_diff_num_var45_ult13","imp_op_var41_ult1","imp_op_var41_efect_ult1","abs_f_diff_saldo_var5_30","num_quantile_diff_3","saldo_medio_var5_hace2","0.832696","0.832491","0.82786","0.826345","0.822969","0.811514"
"f_diff_saldo_medio_var5_ult13","ind_var30","sald0_quantile_diff_2","new_ind_var5_0","var15_ratio","saldo_medio_var5_ult3","num_var22_ult1","num_quantile_diff_3","sald0_quantile_diff_3","f_diff_var_15_larger","sald0_quantile_diff_1","new_num_sum","f_diff_var_15_var_36_less_60","f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_var30","saldo_medio_var5_hace3","saldo_var42","num_var5","abs_f_diff_saldo_medio_var5_ult13","max.saldo","0.826395","0.821553","0.822392","0.808158","0.815607","0.809772"
"num_var30","ind_comb_rank","saldo_medio_var5_ult1","abs_f_ratio_num_var5_saldo_var5","imp_op_var41_efect_ult3","abs_f_ratio_num_var30_saldo_var30","num_var45_hace2","f_diff_num_var22_ult3_num_med_var45_ult3","new_num_group5_prcnt","var15_ratio","f_diff_var_15_var_36_cutpoint_smaller","ind_var5","f_diff_num_var30_4","saldo_var42","new_ftr_ult1_ult3_ratio_num_var22","var15","max.saldo","nonzerocount.saldo","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_30","0.828901","0.835736","0.830043","0.81274","0.812473","0.807118"
"num_var22_ult3","f_diff_saldo_medio_var5_8_ult11","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_rank","imp_op_var41_ult1","new_num_var30_0","var15","saldo_var5","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_of_used","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var8_ult3","var38_ratio","abs_f_diff_saldo_medio_var5_ult13","new_ind_var30_0","new_ind_group5_sum","num_var35","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_num_group5_sum","saldo_medio_var5_ult1","0.833002","0.84134","0.835725","0.81922","0.83491","0.828961"
"var38","saldo_var37","sald0_quantile_diff_3","new_ind_sum","f_num_quan_70_sum_saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","var15","f_diff_var_15_var_36_rank","num_var45_hace3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","max.saldo","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","new_num_sum","num_var45_ult3","new_ind_var30_0","num_var42","var15_ratio","abs_f_diff_imp_op_var41_efect_comer_ult1","0.83478","0.830301","0.818694","0.810624","0.829591","0.826199"
"var38","var15","f_diff_saldo_var5_saldo_medio_var5_ult1","ind_var30","abs_f_diff_num_var30_4","saldo_var5","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","sald0_quantile_diff_3","saldo_medio_var8_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_var30","saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var42","f_diff_num_var30_4","n0","f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","0.835412","0.820339","0.831598","0.818807","0.83059","0.823169"
"abs_f_diff_saldo_var5_30","f_diff_var_15_var_36_cutpoint_smaller","f_diff_saldo_medio_var5_8_ult11","num_of_used","saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace2","num_var45_ult3","f_diff_var_15_var_36_less_60","var15","new_ind_0_group5_sum","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_var22_ult3","num_meses_var39_vig_ult3","nonzerocount.num","f_diff_var_15_var_38","new_num_group5_prcnt","new_ftr_ult1_ult3_ratio_num_var22","saldo_medio_var5_hace2","ind_comb_rank","num_var45_ult1","0.84373","0.843876","0.837532","0.826928","0.8384","0.832298"
"new_num_sum","f_diff_num_var30_4","sald0_quantile_diff_2","num_meses_var5_ult3","saldo_var42","ind_comb_rank","saldo_medio_var5_ult3","new_num_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","num_var35","var15_ratio","saldo_medio_var8_ult1","ind_var5","imp_ent_var16_ult1","new_num_var5_0","new_num_var30_0","num_var45_hace2","num_var5","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_med_var45_ult3","0.820561","0.810351","0.807192","0.803145","0.823015","0.804514"
"f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_of_used","new_ind_var30_0","f_diff_num_var30_4","new_num_0_group5_sum","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_rank","num_quantile_diff_3","num_var45_hace3","num_var30","f_diff_var_15_larger","max.saldo","num_med_var22_ult3","f_diff_num_var22_ult3_num_med_var45_ult3","new_num_prcnt","ind_comb_rank","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var5","abs_f_diff_num_var30_4","var38_ratio","0.840271","0.818691","0.834449","0.825509","0.834613","0.823873"
