"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"ind_var30","num_var45_ult3","imp_op_var41_efect_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_larger","new_num_group5_sum","var36","sald0_quantile_diff_2","saldo_medio_var5_ult1","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_cutpoint_smaller","num_var45_hace3","var38","abs_f_ratio_num_var30_saldo_var30","f_ratio_num_var42_saldo_var42","num_var4","num_var22_ult1","0.834781","0.822971","0.828949","0.811057","0.834194","0.824046","0.830737","0.805052","0.802319","0.839265"
"f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var42","sald0_quantile_diff_1","saldo_var5","new_num_group5_prcnt","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_larger","abs_f_diff_saldo_medio_var5_8_ult11","nonzerocount.saldo","var15","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var35","f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_quan_70_sum_saldo","f_diff_num_var22_ult3_num_med_var45_ult3","new_num_var5_0","abs_f_diff_saldo_var5_30","f_diff_var_15_var_38","f_ratio_num_var42_saldo_var42","0.838962","0.816501","0.832183","0.808644","0.835402","0.828566","0.836237","0.824241","0.811772","0.844791"
"new_num_group5_prcnt","num_var30","nonzerocount.num","num_of_used","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_num_var30_4","num_var45_ult1","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_36_rank","saldo_medio_var5_ult3","var15","ind_comb_rank","f_diff_imp_op_var41_efect_comer_ult1","new_ind_0_group5_sum","new_ind_group5_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var42","max.saldo","f_num_non_zero_sum_ind","f_diff_saldo_medio_var5_ult13","0.833373","0.820143","0.81473","0.808327","0.828794","0.80257","0.829667","0.816976","0.821755","0.829988"
"f_diff_var_15_var_36_cutpoint_smaller","max.saldo","abs_f_ratio_num_var5_saldo_var5","new_num_var5_0","f_num_3_sum_num","imp_op_var41_ult1","var38","new_ind_var30_0","var15","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_prcnt","f_diff_var_15_var_36_less_60","new_num_group5_prcnt","var15_ratio","abs_f_ratio_num_var30_saldo_var30","saldo_medio_var8_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_var8","num_var42","abs_f_diff_saldo_var5_30","0.836836","0.840278","0.83366","0.807521","0.834696","0.825802","0.833099","0.810701","0.829903","0.844646"
"sald0_quantile_diff_3","new_num_sum","var36","imp_op_var39_ult1","f_diff_var_15_var_38","num_med_var45_ult3","f_num_3_sum_num","num_var45_hace3","max.saldo","saldo_var30","saldo_medio_var5_hace2","var15_ratio","new_num_prcnt","new_ind_group5_sum","nonzerocount.saldo","abs_f_ratio_num_var30_saldo_var30","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","0.838321","0.840156","0.819876","0.823856","0.835212","0.828115","0.836706","0.823233","0.833567","0.830989"
"imp_op_var41_ult1","var36","max.saldo","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_8_ult11","new_num_var30_0","abs_f_diff_saldo_medio_var5_ult13","f_diff_num_var45_ult13","var38_ratio","num_var45_hace3","var38","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_ult1","new_ind_var30_0","var15","num_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_0_group5_sum","f_num_quan_70_sum_saldo","0.842086","0.841836","0.838621","0.827641","0.834818","0.812106","0.838206","0.804304","0.837374","0.823072"
"nonzerocount.num","var15_ratio","f_num_3_sum_num","num_var5","f_diff_saldo_var5_saldo_medio_var5_hace3","var38","saldo_var8","new_num_prcnt","num_med_var45_ult3","new_ind_var30_0","new_ftr_ult1_ult3_ratio_num_var22","num_var22_hace2","f_diff_saldo_medio_var5_8_ult11","saldo_medio_var5_ult1","saldo_var42","num_var45_ult1","num_med_var22_ult3","num_var42","var15","abs_f_diff_saldo_var5_30","0.84115","0.814842","0.820612","0.825155","0.835755","0.830029","0.838","0.826031","0.814177","0.847678"
"num_var30","saldo_var42","f_diff_var_15_var_36_cutpoint_smaller","new_ftr_ult1_ult3_ratio_num_var45","new_num_group5_prcnt","f_ratio_num_var42_saldo_var42","num_meses_var5_ult3","var15","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_num_var30_4","num_var45_hace2","f_num_3_sum_num","saldo_var30","new_ind_var30_0","abs_f_diff_num_var22_ult3_num_med_var45_ult3","var38","ind_var5","f_num_non_zero_sum_ind","0.840429","0.82301","0.836934","0.821166","0.823089","0.811553","0.835491","0.824349","0.824488","0.833721"
"abs_f_diff_saldo_var5_30","sald0_quantile_diff_1","var15_ratio","ind_var30","var38","f_diff_var_15_var_36_cutpoint_smaller","num_quantile_diff_3","f_diff_var_15_var_36_rank","new_num_group5_sum","num_var22_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_num_var30_4","new_ind_sum","num_var45_hace2","abs_f_diff_saldo_medio_var5_ult13","new_ftr_ult1_ult3_ratio_num_var45","abs_f_diff_saldo_medio_var5_8_ult11","num_var35","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","ind_comb_rank","0.816628","0.837391","0.832299","0.80041","0.816148","0.805111","0.809878","0.820637","0.828316","0.843966"
"imp_trans_var37_ult1","num_var45_ult1","num_of_used","abs_f_diff_imp_op_var41_efect_comer_ult1","num_var45_hace2","max.saldo","abs_f_diff_num_var30_4","saldo_medio_var5_ult3","var15","num_var30","f_num_quan_70_sum_saldo","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","n0","abs_f_ratio_num_var5_saldo_var5","new_num_prcnt","saldo_var5","saldo_medio_var8_ult1","new_ind_var5_0","0.82268","0.826265","0.824107","0.806353","0.811401","0.82094","0.827651","0.816698","0.822954","0.827178"
