"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"sald0_quantile_diff_1","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_36_less_60","abs_f_diff_num_var30_4","num_var30","abs_f_diff_saldo_var5_30","num_var35","num_var45_hace2","num_var4","saldo_var5","nonzerocount.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_larger","new_ind_var30_0","num_var5","saldo_var42","num_var45_hace3","imp_op_var41_ult1","saldo_var30","var38_ratio","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var45_ult1","num_var22_ult1","num_var22_ult3","num_quantile_diff_1","f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","0.822428","0.82806","0.833793","0.811075","0.834802","0.806752","0.835133","0.804211","0.802982","0.826801"
"f_diff_var_15_var_36_cutpoint_smaller","num_var45_hace3","saldo_var42","f_diff_var_15_var_36_less_60","var15","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","num_var22_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_group5_sum","num_var4","abs_f_ratio_num_var30_saldo_var30","saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","sald0_quantile_diff_3","f_ratio_num_var42_saldo_var42","var36","new_num_prcnt","abs_f_diff_num_var30_4","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38_ratio","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var8_ult3","imp_op_var39_comer_ult3","num_var30","num_var35","new_ftr_ult1_ult3_ratio_num_var22","new_ftr_ult1_ult3_ratio_saldo_medio_var5","nonzerocount.num","0.827302","0.817579","0.835106","0.823006","0.820848","0.82761","0.838374","0.809083","0.830831","0.847018"
"saldo_medio_var5_ult3","saldo_medio_var5_hace3","f_diff_var_15_var_36_cutpoint_smaller","ind_var5","ind_var30","abs_f_diff_saldo_medio_var5_8_ult11","new_ind_sum","num_var22_hace3","num_var42","imp_op_var41_comer_ult1","saldo_var30","num_var5","imp_trans_var37_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_meses_var5_ult3","num_var4","new_num_group5_sum","f_diff_num_var45_ult13","f_ratio_num_var42_saldo_var42","abs_f_ratio_num_var30_saldo_var30","nonzerocount.saldo","num_var35","sald0_quantile_diff_1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_ult1","var15","new_ind_var5_0","f_diff_num_var30_4","f_diff_var_15_var_36_rank","var38_ratio","0.841828","0.840218","0.83718","0.821468","0.833169","0.812701","0.816606","0.81055","0.832288","0.846316"
"f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_hace3","new_num_prcnt","num_meses_var5_ult3","new_num_var5_0","f_diff_saldo_var5_saldo_medio_var5_hace3","f_ratio_num_var42_saldo_var42","num_var45_ult1","saldo_medio_var5_ult1","f_diff_var_15_larger","new_ftr_ult1_ult3_ratio_saldo_medio_var5","var38","var38_ratio","abs_f_diff_saldo_var5_30","num_var22_ult3","saldo_var30","f_diff_num_var22_ult3_num_med_var45_ult3","num_med_var22_ult3","num_var45_hace2","f_diff_num_var30_4","f_diff_var_15_var_36_rank","var15","num_med_var45_ult3","saldo_var37","imp_op_var41_efect_ult1","new_num_group5_sum","f_diff_var_15_var_38","ind_comb_rank","abs_f_diff_saldo_var5_42","new_ind_var30_0","0.837561","0.836396","0.840085","0.826685","0.838026","0.834038","0.841047","0.810798","0.837067","0.851086"
"f_diff_saldo_medio_var5_ult13","n0","var38_ratio","new_ftr_ult1_ult3_ratio_num_var22","num_meses_var5_ult3","f_num_3_sum_num","var36","new_ind_group5_sum","var15","new_ind_var30_0","new_num_var30_0","imp_op_var41_efect_ult3","abs_f_diff_saldo_medio_var5_ult13","saldo_var8","abs_f_ratio_num_var30_saldo_var30","var15_ratio","f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","ind_comb_rank","f_num_quan_70_sum_saldo","new_num_prcnt","new_num_group5_sum","ind_var5","f_diff_saldo_var5_saldo_medio_var5_hace2","nonzerocount.num","num_var42","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace2","saldo_var30","saldo_var42","0.843047","0.842157","0.838754","0.821705","0.814046","0.831711","0.841141","0.825593","0.824504","0.849491"
"f_diff_var_15_var_36_rank","new_ftr_ult1_ult3_ratio_num_var22","num_var45_ult1","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","ind_comb_rank","abs_f_diff_saldo_var5_30","var15","f_num_quan_70_sum_saldo","n0","num_of_used","num_var45_hace2","num_var5","f_diff_num_var30_4","imp_op_var39_comer_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38_ratio","num_meses_var39_vig_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_hace3","saldo_medio_var5_hace2","num_var42","f_diff_num_var22_ult3_num_med_var45_ult3","max.saldo","num_meses_var5_ult3","new_ind_var30_0","num_var22_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_8_ult11","num_var45_hace3","0.845153","0.842641","0.839653","0.827031","0.8378","0.831648","0.840811","0.826864","0.838996","0.8366"
"max.saldo","new_num_prcnt","nonzerocount.saldo","imp_trans_var37_ult1","ind_var30","f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_hace2","num_var30","f_diff_num_var22_ult3_num_med_var45_ult3","var38","sald0_quantile_diff_1","new_num_group5_sum","f_diff_var_15_var_36_rank","var38_ratio","saldo_var30","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_var5_42","sald0_quantile_diff_2","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_36_cutpoint_smaller","num_var4","num_var42","saldo_medio_var5_hace3","new_ind_sum","num_var45_ult3","num_med_var45_ult3","saldo_medio_var5_ult3","0.839509","0.838146","0.836055","0.82333","0.835773","0.825864","0.832422","0.801578","0.830534","0.845128"
"num_meses_var5_ult3","num_meses_var39_vig_ult3","f_ratio_num_var42_saldo_var42","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_var5_0","f_diff_num_var45_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var30_4","saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","f_num_quan_70_sum_saldo","saldo_medio_var5_hace2","saldo_var5","new_num_var30_0","nonzerocount.saldo","f_diff_var_15_var_38","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_rank","f_diff_var_15_larger","var15_ratio","abs_f_ratio_num_var5_saldo_var5","saldo_var30","abs_f_diff_saldo_medio_var5_8_ult11","ind_var5","var38","abs_f_diff_num_var30_4","new_num_group5_prcnt","abs_f_diff_saldo_var5_30","imp_op_var39_comer_ult1","new_ind_sum","0.82824","0.828407","0.836784","0.819","0.826944","0.827703","0.836829","0.823735","0.832736","0.845973"
"f_diff_var_15_larger","imp_op_var41_efect_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_sum","num_var5","saldo_var37","saldo_var42","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","sald0_quantile_diff_2","f_diff_saldo_var5_saldo_medio_var5_hace2","ind_comb_rank","new_ind_sum","new_num_group5_sum","var15_ratio","num_var35","num_var30","saldo_medio_var5_hace2","var38","num_of_used","new_ftr_ult1_ult3_ratio_num_var45","abs_f_ratio_num_var30_saldo_var30","imp_op_var41_ult1","imp_op_var39_ult1","f_diff_saldo_medio_var5_8_ult11","num_var42","f_diff_var_15_var_36_cutpoint_smaller","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_medio_var5_8_ult11","num_quantile_diff_1","0.842421","0.834595","0.834714","0.810666","0.838397","0.831346","0.83858","0.826695","0.833746","0.839779"
"var15","ind_var30","ind_comb_rank","abs_f_diff_num_var30_4","new_ind_0_group5_sum","new_num_prcnt","nonzerocount.saldo","num_var5","sald0_quantile_diff_1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var30","new_ind_group5_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38","f_num_quan_70_sum_saldo","var36","num_of_used","saldo_var42","new_ind_var30_0","new_ind_sum","f_num_non_zero_sum_ind","f_num_3_sum_num","f_diff_num_var22_ult3_num_med_var45_ult3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","var15_ratio","f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_38","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_quantile_diff_3","f_diff_var_15_larger","0.832936","0.834992","0.833964","0.816363","0.826888","0.828001","0.837175","0.805119","0.822255","0.840311"
