"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"sald0_quantile_diff_1","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_36_less_60","abs_f_diff_num_var30_4","num_var30","abs_f_diff_saldo_var5_30","num_var35","num_var45_hace2","num_var4","saldo_var5","nonzerocount.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_larger","new_ind_var30_0","num_var5","saldo_var42","num_var45_hace3","imp_op_var41_ult1","saldo_var30","var38_ratio","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var45_ult1","num_var22_ult1","num_var22_ult3","num_quantile_diff_1","f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","imp_op_var41_comer_ult3","num_var42","var15_ratio","new_num_sum","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","imp_op_var39_efect_ult3","saldo_medio_var5_ult3","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_var_38","0.84352","0.844266","0.830022","0.829415","0.83814","0.833805","0.842117","0.810974","0.838846","0.849278"
"new_ftr_ult1_ult3_ratio_num_var45","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_hace2","saldo_var42","saldo_medio_var5_ult1","var38","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","ind_comb_rank","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_sum","abs_f_diff_num_var30_4","new_num_group5_sum","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_var_38","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_medio_var5_ult13","saldo_var30","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_36_rank","f_ratio_num_var42_saldo_var42","sald0_quantile_diff_2","num_quantile_diff_1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38_ratio","num_var45_ult3","nonzerocount.num","f_diff_saldo_medio_var5_8_ult11","new_num_var30_0","abs_f_diff_saldo_medio_var5_ult13","new_num_prcnt","var15","imp_trans_var37_ult1","sald0_quantile_diff_3","new_ftr_ult1_ult3_ratio_num_var22","saldo_medio_var5_ult3","num_quantile_diff_3","new_num_group5_prcnt","num_meses_var5_ult3","ind_var30","0.831951","0.842141","0.837387","0.825505","0.837889","0.830628","0.840291","0.803864","0.822767","0.831737"
"ind_var30","nonzerocount.saldo","max.saldo","num_var45_hace3","f_diff_var_15_var_36_rank","var38","imp_ent_var16_ult1","f_diff_saldo_var5_saldo_medio_var5_hace2","num_med_var22_ult3","new_num_group5_prcnt","new_ind_var5_0","num_med_var45_ult3","abs_f_diff_saldo_medio_var5_ult13","num_var4","var36","f_diff_var_15_var_36_cutpoint_smaller","num_var22_ult1","new_ftr_ult1_ult3_ratio_num_var22","num_quantile_diff_1","num_var35","saldo_medio_var5_hace2","f_diff_var_15_var_38","f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_var5","var15","num_quantile_diff_3","var15_ratio","new_num_group5_sum","new_ind_var30_0","abs_f_diff_saldo_var5_42","num_var5","var38_ratio","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_var30_0","num_var30","ind_comb_rank","new_ind_group5_sum","abs_f_diff_imp_op_var41_efect_comer_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","sald0_quantile_diff_2","0.821967","0.843238","0.838151","0.806655","0.819568","0.833024","0.841089","0.806275","0.837704","0.827638"
"f_diff_var_15_var_36_rank","var36","abs_f_ratio_num_var5_saldo_var5","imp_ent_var16_ult1","new_num_prcnt","saldo_medio_var5_ult1","num_var22_ult3","num_var30","imp_op_var39_comer_ult1","abs_f_ratio_num_var30_saldo_var30","saldo_var8","abs_f_diff_saldo_medio_var5_ult13","saldo_medio_var5_hace3","f_ratio_num_var42_saldo_var42","sald0_quantile_diff_2","num_var4","f_num_3_sum_num","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","new_ind_var5_0","num_of_used","num_med_var22_ult3","ind_var30","imp_op_var41_efect_ult3","saldo_var5","saldo_medio_var5_ult3","imp_op_var39_efect_ult1","var15","ind_var5","saldo_medio_var5_hace2","var38_ratio","num_quantile_diff_1","f_diff_saldo_var5_saldo_medio_var5_hace3","new_ind_0_group5_sum","imp_op_var41_ult1","new_num_group5_sum","num_var22_ult1","f_diff_var_15_var_38","abs_f_diff_saldo_var5_30","ind_comb_rank","0.843377","0.830298","0.84098","0.82339","0.821117","0.835188","0.842916","0.82726","0.821572","0.841457"
"imp_op_var41_comer_ult3","var38_ratio","new_num_group5_prcnt","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_ult13","var15_ratio","var36","var15","saldo_medio_var5_hace3","saldo_var30","new_ind_sum","f_diff_saldo_medio_var5_ult13","num_of_used","saldo_medio_var8_ult3","saldo_medio_var5_hace2","num_var30","f_diff_num_var30_4","f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_meses_var5_ult3","ind_comb_rank","f_diff_num_var45_ult13","nonzerocount.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var8_0","new_ind_var30_0","f_diff_var_15_var_38","abs_f_diff_saldo_var5_30","f_diff_imp_op_var41_efect_comer_ult1","num_var4","new_ftr_ult1_ult3_ratio_num_var45","new_ind_0_group5_sum","new_num_var30_0","imp_trans_var37_ult1","imp_op_var41_efect_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","sald0_quantile_diff_3","new_num_group5_sum","new_num_var5_0","0.834316","0.842447","0.839288","0.821565","0.820812","0.83068","0.839178","0.826681","0.827953","0.849299"
"f_diff_var_15_var_36_rank","saldo_medio_var5_hace2","new_ftr_ult1_ult3_ratio_num_var45","f_diff_saldo_var5_saldo_medio_var5_hace2","nonzerocount.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_hace3","num_var45_hace2","f_ratio_num_var42_saldo_var42","saldo_var42","num_var22_ult3","f_diff_var_15_var_36_less_60","new_num_prcnt","saldo_var8","abs_f_ratio_num_var30_saldo_var30","new_num_var30_0","sald0_quantile_diff_2","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_var4","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var8_ult1","ind_var5","abs_f_diff_num_var30_4","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var30_4","f_num_quan_70_sum_saldo","new_num_group5_sum","f_diff_saldo_medio_var5_ult13","abs_f_diff_num_var22_ult3_num_med_var45_ult3","num_med_var45_ult3","num_var30","f_diff_num_var22_ult3_num_med_var45_ult3","num_quantile_diff_3","new_num_group5_prcnt","new_num_var5_0","imp_op_var39_ult1","f_num_non_zero_sum_ind","num_meses_var39_vig_ult3","var38_ratio","new_ind_sum","0.84272","0.841241","0.841466","0.828398","0.838494","0.830551","0.838649","0.809074","0.834636","0.848164"
"f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_quan_70_sum_saldo","f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_8_ult11","sald0_quantile_diff_3","n0","num_med_var22_ult3","num_var30","abs_f_diff_num_var30_4","new_num_prcnt","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var42","abs_f_diff_imp_op_var41_efect_comer_ult1","f_diff_var_15_var_36_rank","var15_ratio","var38_ratio","new_num_var30_0","new_ind_sum","sald0_quantile_diff_2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var8_ult1","f_ratio_num_var42_saldo_var42","ind_var30","nonzerocount.num","f_num_non_zero_sum_ind","new_ind_var5_0","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_num_var5_0","abs_f_ratio_num_var30_saldo_var30","f_num_3_sum_num","saldo_medio_var5_ult3","num_var45_hace2","num_var22_ult3","ind_var5","imp_op_var41_comer_ult3","f_diff_var_15_var_38","var15","abs_f_diff_saldo_medio_var5_ult13","0.829513","0.826804","0.838288","0.819489","0.823389","0.832183","0.838923","0.82648","0.822097","0.848887"
"ind_comb_rank","sald0_quantile_diff_2","new_num_group5_prcnt","var38_ratio","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_medio_var5_ult13","saldo_medio_var5_ult1","new_ind_sum","new_ftr_ult1_ult3_ratio_num_var22","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","max.saldo","num_meses_var39_vig_ult3","nonzerocount.saldo","num_var45_hace3","f_diff_var_15_larger","imp_op_var41_efect_ult1","f_diff_var_15_var_38","new_ind_group5_sum","saldo_var42","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var30_4","f_ratio_num_var42_saldo_var42","abs_f_ratio_num_var5_saldo_var5","sald0_quantile_diff_1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_saldo_medio_var5_8_ult11","var15_ratio","num_var45_hace2","imp_op_var39_ult1","imp_ent_var16_ult1","num_med_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var30","f_num_quan_70_sum_saldo","abs_f_diff_saldo_medio_var5_8_ult11","saldo_var5","abs_f_diff_saldo_var5_30","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_num_var43_emit_recib_ult1","var15","0.842555","0.836987","0.826252","0.828514","0.827113","0.812062","0.840857","0.827412","0.827017","0.842054"
"ind_var5","f_diff_var_15_var_36_cutpoint_smaller","saldo_var5","f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var22_hace3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","new_num_group5_sum","f_diff_var_15_var_36_less_60","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_larger","nonzerocount.num","abs_f_ratio_num_var5_saldo_var5","saldo_var42","num_var45_ult1","f_diff_imp_op_var41_comer_ult13","f_num_quan_70_sum_saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_of_used","num_var4","num_meses_var39_vig_ult3","saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_hace2","num_var35","new_ind_sum","sald0_quantile_diff_2","num_var8_0","sald0_quantile_diff_3","var38_ratio","num_var22_ult3","saldo_medio_var5_hace3","saldo_var30","abs_f_diff_num_var30_4","nonzerocount.saldo","f_diff_num_var30_4","num_var5","abs_f_ratio_num_var30_saldo_var30","new_ind_var30_0","0.839197","0.820928","0.808283","0.810075","0.837349","0.801203","0.833058","0.805498","0.81325","0.825814"
"num_var35","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_ult13","num_var45_hace3","var38","var15_ratio","abs_f_ratio_num_var30_saldo_var30","sald0_quantile_diff_3","num_med_var22_ult3","saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_num_var30_4","f_diff_var_15_var_36_cutpoint_smaller","saldo_var37","num_meses_var39_vig_ult3","abs_f_diff_saldo_var5_30","new_num_group5_prcnt","f_diff_var_15_larger","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","sald0_quantile_diff_1","abs_f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_num_quan_70_sum_saldo","num_quantile_diff_3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_hace2","saldo_medio_var5_ult3","new_num_group5_sum","num_of_used","f_diff_saldo_var5_saldo_medio_var5_ult1","imp_trans_var37_ult1","f_ratio_num_var42_saldo_var42","ind_var5","num_var42","new_num_var30_0","var36","new_ftr_ult1_ult3_ratio_saldo_medio_var5","sald0_quantile_diff_2","f_diff_num_var43_emit_recib_ult1","nonzerocount.saldo","0.843191","0.821882","0.835953","0.819895","0.837131","0.830543","0.838341","0.825545","0.835702","0.846901"
