"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6"
"f_diff_var_15_var_36_less_60","saldo_medio_var5_hace2","sald0_quantile_diff_1","var15","ind_comb_rank","var38","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","max.saldo","n0","num_var30","new_ftr_ult1_ult3_ratio_num_var45","f_diff_var_15_var_38","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","sald0_quantile_diff_2","saldo_var30","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.832853","0.827595","0.834495","0.823178","0.822541","0.827964"
"abs_f_diff_num_var30_4","f_ratio_num_var42_saldo_var42","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace2","num_var4","num_var45_hace2","new_ind_var30_0","f_diff_var_15_var_38","f_num_3_sum_num","f_diff_var_15_var_36_less_60","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var30","imp_op_var39_efect_ult3","max.saldo","saldo_var42","num_var35","new_num_group5_sum","nonzerocount.saldo","num_var22_ult3","abs_f_ratio_num_var5_saldo_var5","0.818223","0.821657","0.80153","0.80905","0.818821","0.809241"
"f_diff_saldo_medio_var5_ult13","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_var5_42","f_num_3_sum_num","imp_op_var41_ult1","new_ind_var30_0","new_ind_group5_sum","num_meses_var5_ult3","saldo_medio_var5_ult3","sald0_quantile_diff_3","imp_op_var41_comer_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","var15","f_diff_var_15_var_38","num_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","ind_comb_rank","num_var4","f_diff_num_var30_4","saldo_medio_var5_hace2","0.84053","0.825187","0.837188","0.826272","0.836986","0.829587"
"new_num_sum","num_var35","sald0_quantile_diff_2","saldo_var5","num_var22_ult3","new_num_group5_sum","saldo_medio_var5_ult3","new_ind_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","new_ind_var30_0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_comb_rank","num_var42","imp_ent_var16_ult1","imp_trans_var37_ult1","f_ratio_num_var42_saldo_var42","new_num_group5_prcnt","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_cutpoint_smaller","var15","0.834994","0.814332","0.805832","0.817288","0.805031","0.820413"
"f_diff_var_15_var_36_less_60","f_diff_saldo_var5_saldo_medio_var5_hace3","num_var45_ult3","num_var30","new_num_0_group5_sum","num_var45_hace3","num_med_var45_ult3","saldo_var30","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var30_0","new_ind_sum","sald0_quantile_diff_1","new_num_prcnt","new_ind_var5_0","num_meses_var39_vig_ult3","ind_comb_rank","f_diff_var_15_var_36_cutpoint_smaller","f_diff_imp_op_var41_comer_ult13","n0","num_var35","0.826286","0.815729","0.810834","0.803516","0.815695","0.801137"
"saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_var30_0","abs_f_diff_saldo_medio_var5_8_ult11","new_ind_group5_sum","num_var45_hace2","new_num_sum","f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var22_ult1","var36","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_0_group5_sum","f_diff_var_15_var_36_less_60","saldo_var5","f_diff_var_15_var_36_rank","nonzerocount.saldo","abs_f_diff_saldo_var5_30","saldo_var30","0.832991","0.828516","0.833252","0.815802","0.80923","0.818958"
"f_ratio_num_var42_saldo_var42","num_of_used","sald0_quantile_diff_3","f_diff_var_15_var_38","f_num_non_zero_sum_ind","var36","saldo_var8","num_var22_ult3","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_less_60","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_rank","new_ind_sum","new_ind_0_group5_sum","new_num_sum","imp_ent_var16_ult1","imp_op_var39_efect_ult1","n0","0.836089","0.810823","0.837022","0.827349","0.835507","0.828305"
"num_var4","new_num_sum","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","ind_comb_rank","imp_op_var41_efect_ult1","abs_f_diff_saldo_var5_42","f_num_quan_70_sum_saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_larger","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_ratio_num_var30_saldo_var30","saldo_medio_var5_hace2","imp_op_var41_comer_ult3","new_ind_group5_sum","abs_f_diff_num_var30_4","var15","new_num_prcnt","new_num_var30_0","0.826164","0.828194","0.826713","0.812082","0.830404","0.809789"
"saldo_medio_var8_ult1","var38","abs_f_diff_num_var30_4","new_num_group5_sum","new_ind_group5_sum","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_rank","f_num_3_sum_num","saldo_var42","var15","num_quantile_diff_1","imp_op_var41_comer_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var30","num_med_var45_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","new_ind_sum","num_var45_ult1","saldo_var5","0.835218","0.837352","0.833058","0.821762","0.819133","0.825121"
"max.saldo","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_var30_0","f_ratio_num_var42_saldo_var42","saldo_medio_var5_ult1","imp_var43_emit_ult1","nonzerocount.saldo","saldo_medio_var5_ult3","num_quantile_diff_1","sald0_quantile_diff_3","abs_f_ratio_num_var5_saldo_var5","var38","new_ind_0_group5_sum","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_ind_sum","f_diff_num_var30_4","saldo_var5","num_var30","f_diff_var_15_var_36_rank","num_var4","0.837664","0.837147","0.815144","0.823902","0.817526","0.825799"
