Depth,Min_child_weight,auc_max,std,best_round
3,0.5,0.840067,0.00931466666666667,772.75
3,1,0.839683,0.00830966666666667,820.666666666667
3,2,0.840277,0.00997066666666667,655.333333333333
3,3,0.840904333333333,0.00822966666666667,722.75
3,4,0.841179,0.00978733333333333,754
4,0.5,0.841748333333333,0.0116046666666667,459.333333333333
4,1,0.842432666666667,0.008171,642
4,2,0.842170333333333,0.0138866666666667,698
4,3,0.842603333333333,0.0127283333333333,572.666666666667
4,4,0.841545666666667,0.00660933333333333,597.333333333333
5,0.5,0.841293,0.0119166666666667,419
5,1,0.841381333333333,0.0134113333333333,402
5,2,0.841751,0.0129603333333333,448
5,3,0.841886666666667,0.00840533333333333,351
5,4,0.841186333333333,0.00814366666666667,410
6,0.5,0.840388666666667,0.0106723333333333,393
6,1,0.841904666666667,0.013504,334
6,2,0.841171666666667,0.0135233333333333,324.666666666667
6,3,0.841315,0.0103186666666667,346.333333333333
6,4,0.841201666666667,0.0121003333333333,399.666666666667
