Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,1,0.55,0.35,0.005,4,2,0.8401544,0.0048844,1374.6
4,1,0.55,0.35,0.007,4,2,0.8406394,0.0105772,1029.2
4,1,0.55,0.35,0.009,4,2,0.8401896,0.0016388,986.5
4,1,0.55,0.35,0.011,4,2,0.8402724,0.003831,763.8
4,1,0.55,0.35,0.013,4,2,0.8407542,0.0048446,766.333333333333
4,1,0.55,0.35,0.015,4,2,0.8399714,0.0047808,601
4,1,0.55,0.35,0.017,4,2,0.8396846,0.0058478,431
4,1,0.55,0.35,0.019,4,2,0.8410702,0.0056036,466.6
4,1,0.55,0.35,0.021,4,2,0.8403492,0.0066432,365.6
4,1,0.55,0.35,0.023,4,2,0.8396646,0.0056032,315
4,1,0.55,0.35,0.025,4,2,0.8400856,0.009245,354
