Depth,Min_child_weight,auc_max,std,best_round
3,0.5,0.838359666666667,0.0133233333333333,109.666666666667
3,1,0.839701,0.00873033333333333,138
3,2,0.839872666666667,0.0152583333333333,136.666666666667
3,3,0.839693333333333,0.012351,131.333333333333
3,4,0.839778666666667,0.00846233333333333,160.333333333333
4,0.5,0.840424666666667,0.0110606666666667,114
4,1,0.840124,0.012222,91
4,2,0.840730666666667,0.013148,123.666666666667
4,3,0.839885333333333,0.0125826666666667,103
4,4,0.840051,0.012383,117.333333333333
5,0.5,0.839865,0.008486,87.3333333333333
5,1,0.839526,0.0127996666666667,62
5,2,0.839577,0.00932,89
5,3,0.838983,0.005088,74.3333333333333
5,4,0.839880333333333,0.00889466666666667,82
6,0.5,0.839751,0.00698766666666667,72
6,1,0.838767333333333,0.00571033333333333,86
6,2,0.839196666666667,0.011728,77
6,3,0.839803,0.00715366666666667,72.6666666666667
6,4,0.840263666666667,0.0142436666666667,67
