Rounds,Depth,mcw,r_sample,c_sample,eta,scale_pos_weight,auc_max,std,best_round
3000,4,0.5,0.6,0.5,0.05,1,0.8405242,0.0141048,142
3000,4,0.5,0.6,0.5,0.05,2,0.8407178,0.0141662,149
3000,4,0.5,0.6,0.5,0.05,3,0.8408148,0.014284,163.8
3000,4,0.5,0.6,0.5,0.01,1,0.8412132,0.0151212,867.8
3000,4,0.5,0.6,0.5,0.01,2,0.8413508,0.0147086,880.2
3000,4,0.5,0.6,0.5,0.01,3,0.8410388,0.0146082,790.2
3000,4,0.5,0.6,0.5,0.005,1,0.8416584,0.0147424,1787
3000,4,0.5,0.6,0.5,0.005,2,0.8414712,0.0144684,1639.5
3000,4,0.5,0.6,0.5,0.005,3,0.8416884,0.0143502,1589
3000,4,0.5,0.6,0.6,0.05,1,0.8401168,0.0143888,211
3000,4,0.5,0.6,0.6,0.05,2,0.8402078,0.015084,178.5
3000,4,0.5,0.6,0.6,0.05,3,0.8404396,0.014688,169
3000,4,0.5,0.6,0.6,0.01,1,0.841151,0.015108,869
3000,4,0.5,0.6,0.6,0.01,2,0.8405016,0.0148368,651.4
3000,4,0.5,0.6,0.6,0.01,3,0.8409288,0.014566,701
3000,4,0.5,0.6,0.6,0.005,1,0.8413234,0.014599,1587.4
3000,4,0.5,0.6,0.6,0.005,2,0.8412302,0.0144496,1525
3000,4,0.5,0.6,0.6,0.005,3,0.84159,0.014349,1707.4
3000,4,0.5,0.6,0.7,0.05,1,0.840642,0.0151842,184.8
3000,4,0.5,0.6,0.7,0.05,2,0.8403264,0.0151244,153.4
3000,4,0.5,0.6,0.7,0.05,3,0.8403894,0.0150218,138.6
3000,4,0.5,0.6,0.7,0.01,1,0.8413368,0.0149128,880.8
3000,4,0.5,0.6,0.7,0.01,2,0.8410824,0.014841,883
3000,4,0.5,0.6,0.7,0.01,3,0.8409582,0.0149512,804.6
3000,4,0.5,0.6,0.7,0.005,1,0.841451,0.0148072,1703
3000,4,0.5,0.6,0.7,0.005,2,0.8414434,0.0148018,1751.8
3000,4,0.5,0.6,0.7,0.005,3,0.8413662,0.0146206,1647.4
3000,4,0.5,0.7,0.5,0.05,1,0.8411184,0.0143698,227.4
3000,4,0.5,0.7,0.5,0.05,2,0.8408476,0.015037,192.2
3000,4,0.5,0.7,0.5,0.05,3,0.8404132,0.0149162,200
