,Rounds,Depth,r_sample,c_sample,eta,auc_max,best_round
1,10,2,0.5,0.6,0.1,0.780017,8
2,10,2,0.5,0.6,0.01,0.777163,10
3,10,2,0.5,0.6,0.001,0.773479,10
4,10,2,0.5,0.6,1e-04,0.773476,10
5,10,2,0.5,0.8,0.1,0.774871,4
6,10,2,0.5,0.8,0.01,0.776473,8
7,10,2,0.5,0.8,0.001,0.776198,10
8,10,2,0.5,0.8,1e-04,0.776202,10
9,10,2,0.5,1,0.1,0.773491,2
10,10,2,0.5,1,0.01,0.7766,6
11,10,2,0.5,1,0.001,0.776623,6
12,10,2,0.5,1,1e-04,0.776623,6
13,10,2,0.75,0.6,0.1,0.780772,8
14,10,2,0.75,0.6,0.01,0.77598,10
15,10,2,0.75,0.6,0.001,0.775525,10
16,10,2,0.75,0.6,1e-04,0.77545,10
17,10,2,0.75,0.8,0.1,0.786865,10
18,10,2,0.75,0.8,0.01,0.773182,5
19,10,2,0.75,0.8,0.001,0.778504,10
20,10,2,0.75,0.8,1e-04,0.778149,10
21,10,2,0.75,1,0.1,0.782384,7
22,10,2,0.75,1,0.01,0.77646,6
23,10,2,0.75,1,0.001,0.756057,2
24,10,2,0.75,1,1e-04,0.755827,2
25,10,2,1,0.6,0.1,0.782532,8
26,10,2,1,0.6,0.01,0.769218,8
27,10,2,1,0.6,0.001,0.765059,4
28,10,2,1,0.6,1e-04,0.76498,4
29,10,2,1,0.8,0.1,0.774453,3
30,10,2,1,0.8,0.01,0.774631,8
31,10,2,1,0.8,0.001,0.769888,7
32,10,2,1,0.8,1e-04,0.769806,7
33,10,2,1,1,0.1,0.778594,6
34,10,2,1,1,0.01,0.764358,4
35,10,2,1,1,0.001,0.758257,1
36,10,2,1,1,1e-04,0.758257,1
37,10,4,0.5,0.6,0.1,0.814813,8
38,10,4,0.5,0.6,0.01,0.807789,8
39,10,4,0.5,0.6,0.001,0.806561,8
40,10,4,0.5,0.6,1e-04,0.806428,8
41,10,4,0.5,0.8,0.1,0.821977,9
42,10,4,0.5,0.8,0.01,0.814949,6
43,10,4,0.5,0.8,0.001,0.814336,6
44,10,4,0.5,0.8,1e-04,0.81374,6
45,10,4,0.5,1,0.1,0.820984,8
46,10,4,0.5,1,0.01,0.817429,9
47,10,4,0.5,1,0.001,0.814697,6
48,10,4,0.5,1,1e-04,0.814719,6
49,10,4,0.75,0.6,0.1,0.817117,8
50,10,4,0.75,0.6,0.01,0.809006,8
51,10,4,0.75,0.6,0.001,0.801373,5
52,10,4,0.75,0.6,1e-04,0.801329,5
53,10,4,0.75,0.8,0.1,0.818378,6
54,10,4,0.75,0.8,0.01,0.815671,9
55,10,4,0.75,0.8,0.001,0.811102,6
56,10,4,0.75,0.8,1e-04,0.811019,6
57,10,4,0.75,1,0.1,0.821786,10
58,10,4,0.75,1,0.01,0.815651,9
59,10,4,0.75,1,0.001,0.813796,9
60,10,4,0.75,1,1e-04,0.812294,6
61,10,4,1,0.6,0.1,0.816837,9
62,10,4,1,0.6,0.01,0.806712,9
63,10,4,1,0.6,0.001,0.804057,9
64,10,4,1,0.6,1e-04,0.803751,9
65,10,4,1,0.8,0.1,0.821703,10
66,10,4,1,0.8,0.01,0.81024,10
67,10,4,1,0.8,0.001,0.801538,6
68,10,4,1,0.8,1e-04,0.801454,6
69,10,4,1,1,0.1,0.818711,6
70,10,4,1,1,0.01,0.80722,10
71,10,4,1,1,0.001,0.798802,3
72,10,4,1,1,1e-04,0.798614,3
73,10,6,0.5,0.6,0.1,0.821372,8
74,10,6,0.5,0.6,0.01,0.814227,8
75,10,6,0.5,0.6,0.001,0.812701,8
76,10,6,0.5,0.6,1e-04,0.812632,8
77,10,6,0.5,0.8,0.1,0.826013,9
78,10,6,0.5,0.8,0.01,0.821638,9
79,10,6,0.5,0.8,0.001,0.82053,10
80,10,6,0.5,0.8,1e-04,0.817968,6
81,10,6,0.5,1,0.1,0.82636,10
82,10,6,0.5,1,0.01,0.822225,9
83,10,6,0.5,1,0.001,0.820941,10
84,10,6,0.5,1,1e-04,0.82058,10
85,10,6,0.75,0.6,0.1,0.822355,8
86,10,6,0.75,0.6,0.01,0.816823,8
87,10,6,0.75,0.6,0.001,0.810705,5
88,10,6,0.75,0.6,1e-04,0.810246,5
89,10,6,0.75,0.8,0.1,0.826893,10
90,10,6,0.75,0.8,0.01,0.818811,6
91,10,6,0.75,0.8,0.001,0.820168,10
92,10,6,0.75,0.8,1e-04,0.819873,10
93,10,6,0.75,1,0.1,0.827202,10
94,10,6,0.75,1,0.01,0.821093,10
95,10,6,0.75,1,0.001,0.820274,10
96,10,6,0.75,1,1e-04,0.819827,10
97,10,6,1,0.6,0.1,0.824263,9
98,10,6,1,0.6,0.01,0.814882,9
99,10,6,1,0.6,0.001,0.813346,9
100,10,6,1,0.6,1e-04,0.813238,9
101,10,6,1,0.8,0.1,0.828151,10
102,10,6,1,0.8,0.01,0.817553,10
103,10,6,1,0.8,0.001,0.814669,10
104,10,6,1,0.8,1e-04,0.814637,10
105,10,6,1,1,0.1,0.823811,6
106,10,6,1,1,0.01,0.81491,10
107,10,6,1,1,0.001,0.80695,5
108,10,6,1,1,1e-04,0.806362,1
109,10,8,0.5,0.6,0.1,0.822128,10
110,10,8,0.5,0.6,0.01,0.815958,8
111,10,8,0.5,0.6,0.001,0.814968,8
112,10,8,0.5,0.6,1e-04,0.814867,8
113,10,8,0.5,0.8,0.1,0.825954,9
114,10,8,0.5,0.8,0.01,0.820873,6
115,10,8,0.5,0.8,0.001,0.819812,6
116,10,8,0.5,0.8,1e-04,0.819595,6
117,10,8,0.5,1,0.1,0.826102,10
118,10,8,0.5,1,0.01,0.823505,9
119,10,8,0.5,1,0.001,0.821582,10
120,10,8,0.5,1,1e-04,0.820563,6
121,10,8,0.75,0.6,0.1,0.824538,10
122,10,8,0.75,0.6,0.01,0.818481,8
123,10,8,0.75,0.6,0.001,0.816858,8
124,10,8,0.75,0.6,1e-04,0.815962,8
125,10,8,0.75,0.8,0.1,0.828165,10
126,10,8,0.75,0.8,0.01,0.823197,9
127,10,8,0.75,0.8,0.001,0.822331,9
128,10,8,0.75,0.8,1e-04,0.82201,10
129,10,8,0.75,1,0.1,0.827332,10
130,10,8,0.75,1,0.01,0.821843,9
131,10,8,0.75,1,0.001,0.821435,10
132,10,8,0.75,1,1e-04,0.82139,10
133,10,8,1,0.6,0.1,0.826022,9
134,10,8,1,0.6,0.01,0.816759,8
135,10,8,1,0.6,0.001,0.815389,8
136,10,8,1,0.6,1e-04,0.814718,8
137,10,8,1,0.8,0.1,0.828751,10
138,10,8,1,0.8,0.01,0.820027,10
139,10,8,1,0.8,0.001,0.817693,10
140,10,8,1,0.8,1e-04,0.817211,10
141,10,8,1,1,0.1,0.827389,10
142,10,8,1,1,0.01,0.814339,9
143,10,8,1,1,0.001,0.809744,3
144,10,8,1,1,1e-04,0.809238,1
145,10,10,0.5,0.6,0.1,0.821523,8
146,10,10,0.5,0.6,0.01,0.816595,10
147,10,10,0.5,0.6,0.001,0.815251,8
148,10,10,0.5,0.6,1e-04,0.815393,8
149,10,10,0.5,0.8,0.1,0.824989,9
150,10,10,0.5,0.8,0.01,0.819982,6
151,10,10,0.5,0.8,0.001,0.821508,9
152,10,10,0.5,0.8,1e-04,0.821253,9
153,10,10,0.5,1,0.1,0.826331,10
154,10,10,0.5,1,0.01,0.823046,10
155,10,10,0.5,1,0.001,0.821374,9
156,10,10,0.5,1,1e-04,0.821402,9
157,10,10,0.75,0.6,0.1,0.824213,10
158,10,10,0.75,0.6,0.01,0.819033,8
159,10,10,0.75,0.6,0.001,0.818117,8
160,10,10,0.75,0.6,1e-04,0.81798,8
161,10,10,0.75,0.8,0.1,0.828842,10
162,10,10,0.75,0.8,0.01,0.824109,10
163,10,10,0.75,0.8,0.001,0.823078,10
164,10,10,0.75,0.8,1e-04,0.822514,10
165,10,10,0.75,1,0.1,0.82586,10
166,10,10,0.75,1,0.01,0.822444,9
167,10,10,0.75,1,0.001,0.822008,9
168,10,10,0.75,1,1e-04,0.821298,10
169,10,10,1,0.6,0.1,0.824446,10
170,10,10,1,0.6,0.01,0.817754,8
171,10,10,1,0.6,0.001,0.814752,6
172,10,10,1,0.6,1e-04,0.815955,8
173,10,10,1,0.8,0.1,0.828248,10
174,10,10,1,0.8,0.01,0.820778,10
175,10,10,1,0.8,0.001,0.818736,10
176,10,10,1,0.8,1e-04,0.818418,10
177,10,10,1,1,0.1,0.826659,10
178,10,10,1,1,0.01,0.810833,3
179,10,10,1,1,0.001,0.809828,10
180,10,10,1,1,1e-04,0.808988,4
181,100,2,0.5,0.6,0.1,0.836576,100
182,100,2,0.5,0.6,0.01,0.784107,45
183,100,2,0.5,0.6,0.001,0.781827,43
184,100,2,0.5,0.6,1e-04,0.782097,45
185,100,2,0.5,0.8,0.1,0.836172,100
186,100,2,0.5,0.8,0.01,0.803049,100
187,100,2,0.5,0.8,0.001,0.78121,45
188,100,2,0.5,0.8,1e-04,0.779797,14
189,100,2,0.5,1,0.1,0.836602,100
190,100,2,0.5,1,0.01,0.7766,6
191,100,2,0.5,1,0.001,0.776623,6
192,100,2,0.5,1,1e-04,0.776623,6
193,100,2,0.75,0.6,0.1,0.836538,100
194,100,2,0.75,0.6,0.01,0.788598,100
195,100,2,0.75,0.6,0.001,0.781516,46
196,100,2,0.75,0.6,1e-04,0.780726,46
197,100,2,0.75,0.8,0.1,0.836491,100
198,100,2,0.75,0.8,0.01,0.786848,54
199,100,2,0.75,0.8,0.001,0.780807,14
200,100,2,0.75,0.8,1e-04,0.78061,14
201,100,2,0.75,1,0.1,0.837006,100
202,100,2,0.75,1,0.01,0.778021,10
203,100,2,0.75,1,0.001,0.779208,47
204,100,2,0.75,1,1e-04,0.777985,23
205,100,2,1,0.6,0.1,0.836282,100
206,100,2,1,0.6,0.01,0.781619,52
207,100,2,1,0.6,0.001,0.776646,20
208,100,2,1,0.6,1e-04,0.776515,20
209,100,2,1,0.8,0.1,0.83557,100
210,100,2,1,0.8,0.01,0.791973,100
211,100,2,1,0.8,0.001,0.779754,23
212,100,2,1,0.8,1e-04,0.78017,28
213,100,2,1,1,0.1,0.835658,100
214,100,2,1,1,0.01,0.778559,41
215,100,2,1,1,0.001,0.763762,16
216,100,2,1,1,1e-04,0.758257,1
217,100,4,0.5,0.6,0.1,0.840379,91
218,100,4,0.5,0.6,0.01,0.812647,22
219,100,4,0.5,0.6,0.001,0.810186,22
220,100,4,0.5,0.6,1e-04,0.809665,22
221,100,4,0.5,0.8,0.1,0.839032,94
222,100,4,0.5,0.8,0.01,0.825156,70
223,100,4,0.5,0.8,0.001,0.821411,53
224,100,4,0.5,0.8,1e-04,0.819628,19
225,100,4,0.5,1,0.1,0.839159,70
226,100,4,0.5,1,0.01,0.825941,100
227,100,4,0.5,1,0.001,0.820703,31
228,100,4,0.5,1,1e-04,0.819443,34
229,100,4,0.75,0.6,0.1,0.841003,81
230,100,4,0.75,0.6,0.01,0.821092,95
231,100,4,0.75,0.6,0.001,0.810473,43
232,100,4,0.75,0.6,1e-04,0.809428,27
233,100,4,0.75,0.8,0.1,0.840349,85
234,100,4,0.75,0.8,0.01,0.826263,99
235,100,4,0.75,0.8,0.001,0.820976,61
236,100,4,0.75,0.8,1e-04,0.819958,67
237,100,4,0.75,1,0.1,0.839729,97
238,100,4,0.75,1,0.01,0.825195,100
239,100,4,0.75,1,0.001,0.81884,46
240,100,4,0.75,1,1e-04,0.817624,46
241,100,4,1,0.6,0.1,0.841058,79
242,100,4,1,0.6,0.01,0.820079,92
243,100,4,1,0.6,0.001,0.808089,34
244,100,4,1,0.6,1e-04,0.806732,34
245,100,4,1,0.8,0.1,0.840338,100
246,100,4,1,0.8,0.01,0.824566,98
247,100,4,1,0.8,0.001,0.815469,100
248,100,4,1,0.8,1e-04,0.808415,29
