Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,auc_max,best_round
300,5,0.65,0.75,0.05,0.8,0.841136,180
300,5,0.65,0.75,0.05,1,0.841385,137
300,5,0.65,0.75,0.05,10,0.840228,105
300,5,0.65,0.75,0.05,24.2726063829787,0.839957,78
300,5,0.65,0.75,0.01,0.8,0.835885,300
300,5,0.65,0.75,0.01,1,0.836972,300
300,5,0.65,0.75,0.01,10,0.840874,299
300,5,0.65,0.75,0.01,24.2726063829787,0.840429,300
300,5,0.65,0.75,0.005,0.8,0.830322,300
300,5,0.65,0.75,0.005,1,0.831764,300
300,5,0.65,0.75,0.005,10,0.838817,300
300,5,0.65,0.75,0.005,24.2726063829787,0.839016,295
300,5,0.65,0.8,0.05,0.8,0.841031,137
300,5,0.65,0.8,0.05,1,0.841445,158
300,5,0.65,0.8,0.05,10,0.840453,70
300,5,0.65,0.8,0.05,24.2726063829787,0.838881,68
300,5,0.65,0.8,0.01,0.8,0.836195,300
300,5,0.65,0.8,0.01,1,0.83711,300
300,5,0.65,0.8,0.01,10,0.840503,295
300,5,0.65,0.8,0.01,24.2726063829787,0.840192,300
300,5,0.65,0.8,0.005,0.8,0.830743,300
300,5,0.65,0.8,0.005,1,0.832152,300
300,5,0.65,0.8,0.005,10,0.838838,300
300,5,0.65,0.8,0.005,24.2726063829787,0.838916,300
300,5,0.65,0.85,0.05,0.8,0.840724,145
300,5,0.65,0.85,0.05,1,0.841008,137
300,5,0.65,0.85,0.05,10,0.840471,71
300,5,0.65,0.85,0.05,24.2726063829787,0.839036,68
300,5,0.65,0.85,0.01,0.8,0.836403,300
300,5,0.65,0.85,0.01,1,0.837309,300
300,5,0.65,0.85,0.01,10,0.840639,300
300,5,0.65,0.85,0.01,24.2726063829787,0.839996,299
300,5,0.65,0.85,0.005,0.8,0.831464,299
300,5,0.65,0.85,0.005,1,0.832511,300
300,5,0.65,0.85,0.005,10,0.838623,300
300,5,0.65,0.85,0.005,24.2726063829787,0.838687,300
300,5,0.75,0.75,0.05,0.8,0.84124,188
300,5,0.75,0.75,0.05,1,0.841363,167
300,5,0.75,0.75,0.05,10,0.840516,82
300,5,0.75,0.75,0.05,24.2726063829787,0.839582,82
300,5,0.75,0.75,0.01,0.8,0.836445,300
300,5,0.75,0.75,0.01,1,0.83726,300
300,5,0.75,0.75,0.01,10,0.840917,299
300,5,0.75,0.75,0.01,24.2726063829787,0.840352,292
300,5,0.75,0.75,0.005,0.8,0.830488,300
300,5,0.75,0.75,0.005,1,0.83166,300
300,5,0.75,0.75,0.005,10,0.839035,300
300,5,0.75,0.75,0.005,24.2726063829787,0.839199,297
300,5,0.75,0.8,0.05,0.8,0.840943,164
300,5,0.75,0.8,0.05,1,0.840944,164
300,5,0.75,0.8,0.05,10,0.840515,89
300,5,0.75,0.8,0.05,24.2726063829787,0.839921,71
300,5,0.75,0.8,0.01,0.8,0.836736,300
300,5,0.75,0.8,0.01,1,0.837557,300
300,5,0.75,0.8,0.01,10,0.840666,300
300,5,0.75,0.8,0.01,24.2726063829787,0.840271,287
300,5,0.75,0.8,0.005,0.8,0.830922,300
300,5,0.75,0.8,0.005,1,0.832061,300
300,5,0.75,0.8,0.005,10,0.838993,299
300,5,0.75,0.8,0.005,24.2726063829787,0.839051,297
300,5,0.75,0.85,0.05,0.8,0.84089,162
300,5,0.75,0.85,0.05,1,0.841204,175
300,5,0.75,0.85,0.05,10,0.84033,87
300,5,0.75,0.85,0.05,24.2726063829787,0.839232,87
300,5,0.75,0.85,0.01,0.8,0.836618,300
300,5,0.75,0.85,0.01,1,0.837476,300
300,5,0.75,0.85,0.01,10,0.84058,299
300,5,0.75,0.85,0.01,24.2726063829787,0.840051,299
300,5,0.75,0.85,0.005,0.8,0.831211,300
300,5,0.75,0.85,0.005,1,0.832566,298
300,5,0.75,0.85,0.005,10,0.838747,300
300,5,0.75,0.85,0.005,24.2726063829787,0.838762,296
300,5,0.85,0.75,0.05,0.8,0.841536,159
300,5,0.85,0.75,0.05,1,0.841142,158
300,5,0.85,0.75,0.05,10,0.840351,109
300,5,0.85,0.75,0.05,24.2726063829787,0.839829,68
300,5,0.85,0.75,0.01,0.8,0.836152,300
300,5,0.85,0.75,0.01,1,0.837052,300
300,5,0.85,0.75,0.01,10,0.84085,299
300,5,0.85,0.75,0.01,24.2726063829787,0.840378,300
300,5,0.85,0.75,0.005,0.8,0.830217,300
300,5,0.85,0.75,0.005,1,0.831768,300
300,5,0.85,0.75,0.005,10,0.838813,300
300,5,0.85,0.75,0.005,24.2726063829787,0.838999,300
300,5,0.85,0.8,0.05,0.8,0.841073,137
