Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,best_round
1000,4,0.75,0.7,0.01,0.5,0,0.841489,987
1000,4,0.75,0.7,0.01,0.5,0.5,0.841574,987
1000,4,0.75,0.7,0.01,0.5,0.8,0.841589,986
1000,4,0.75,0.7,0.01,1,0,0.84145,845
1000,4,0.75,0.7,0.01,1,0.5,0.841538,983
1000,4,0.75,0.7,0.01,1,0.8,0.841483,989
1000,4,0.75,0.7,0.01,2,0,0.841596,755
1000,4,0.75,0.7,0.01,2,0.5,0.841612,741
1000,4,0.75,0.7,0.01,2,0.8,0.841721,983
1000,4,0.75,0.75,0.01,0.5,0,0.841471,986
1000,4,0.75,0.75,0.01,0.5,0.5,0.841467,986
1000,4,0.75,0.75,0.01,0.5,0.8,0.84141,986
1000,4,0.75,0.75,0.01,1,0,0.841598,983
1000,4,0.75,0.75,0.01,1,0.5,0.841489,983
1000,4,0.75,0.75,0.01,1,0.8,0.841508,990
1000,4,0.75,0.75,0.01,2,0,0.841559,990
1000,4,0.75,0.75,0.01,2,0.5,0.841556,947
1000,4,0.75,0.75,0.01,2,0.8,0.841596,987
1000,5,0.75,0.7,0.01,0.5,0,0.842019,989
1000,5,0.75,0.7,0.01,0.5,0.5,0.841906,931
1000,5,0.75,0.7,0.01,0.5,0.8,0.84188,934
1000,5,0.75,0.7,0.01,1,0,0.842171,714
1000,5,0.75,0.7,0.01,1,0.5,0.842152,715
1000,5,0.75,0.7,0.01,1,0.8,0.842093,714
1000,5,0.75,0.7,0.01,2,0,0.842274,707
1000,5,0.75,0.7,0.01,2,0.5,0.842248,725
1000,5,0.75,0.7,0.01,2,0.8,0.842184,592
1000,5,0.75,0.75,0.01,0.5,0,0.842081,947
1000,5,0.75,0.75,0.01,0.5,0.5,0.841832,820
1000,5,0.75,0.75,0.01,0.5,0.8,0.841883,947
1000,5,0.75,0.75,0.01,1,0,0.841892,609
1000,5,0.75,0.75,0.01,1,0.5,0.841872,597
1000,5,0.75,0.75,0.01,1,0.8,0.841977,737
1000,5,0.75,0.75,0.01,2,0,0.842172,731
1000,5,0.75,0.75,0.01,2,0.5,0.842106,735
1000,5,0.75,0.75,0.01,2,0.8,0.84217,726
1000,6,0.75,0.7,0.01,0.5,0,0.841942,738
1000,6,0.75,0.7,0.01,0.5,0.5,0.841996,714
1000,6,0.75,0.7,0.01,0.5,0.8,0.841867,770
1000,6,0.75,0.7,0.01,1,0,0.842052,714
1000,6,0.75,0.7,0.01,1,0.5,0.842041,714
1000,6,0.75,0.7,0.01,1,0.8,0.841992,714
1000,6,0.75,0.7,0.01,2,0,0.842409,603
1000,6,0.75,0.7,0.01,2,0.5,0.84246,592
1000,6,0.75,0.7,0.01,2,0.8,0.842469,592
1000,6,0.75,0.75,0.01,0.5,0,0.841717,736
1000,6,0.75,0.75,0.01,0.5,0.5,0.841812,710
1000,6,0.75,0.75,0.01,0.5,0.8,0.841688,714
1000,6,0.75,0.75,0.01,1,0,0.841813,712
1000,6,0.75,0.75,0.01,1,0.5,0.841824,736
1000,6,0.75,0.75,0.01,1,0.8,0.841789,714
1000,6,0.75,0.75,0.01,2,0,0.84203,405
1000,6,0.75,0.75,0.01,2,0.5,0.842278,591
1000,6,0.75,0.75,0.01,2,0.8,0.842027,405
