"ID","num_of_used","num_of_recommended"
1,0,4
3,3,6
4,2,4
8,8,5
10,5,6
13,0,4
14,2,4
18,2,4
20,0,4
23,2,2
25,9,5
26,0,4
29,2,4
31,5,6
32,14,7
34,2,4
36,0,2
39,3,4
42,4,4
43,2,4
45,0,4
49,2,4
51,4,6
54,2,4
56,0,4
60,14,7
61,0,4
66,0,4
68,2,4
74,2,4
75,0,3
77,0,4
80,0,4
82,3,4
83,2,2
84,0,4
87,0,4
88,9,5
90,2,4
91,2,4
92,0,2
93,2,2
95,2,4
101,2,4
102,4,6
105,0,4
106,2,2
107,4,6
109,2,4
111,0,4
113,7,8
115,2,2
118,0,2
122,3,3
125,2,4
127,3,4
130,2,4
131,0,4
132,2,4
134,2,4
135,3,4
136,10,7
137,0,4
139,0,4
140,2,4
141,0,4
142,2,4
143,2,4
144,0,4
145,0,4
146,2,4
148,4,4
150,0,2
151,2,2
152,0,4
153,5,6
154,0,2
155,2,4
156,2,4
157,2,4
159,10,5
161,0,4
162,0,4
163,3,8
165,2,4
166,0,4
169,2,4
170,2,4
171,0,4
172,2,4
173,4,3
175,2,4
176,2,4
177,3,4
178,2,4
179,2,4
180,0,4
182,0,4
183,0,4
184,2,4
186,2,4
188,2,4
191,3,4
192,2,4
193,3,6
195,2,4
196,2,4
199,2,4
200,2,2
202,0,4
203,0,4
204,2,4
206,3,4
207,5,9
209,3,4
210,2,4
212,0,4
213,11,6
214,0,2
215,9,5
217,4,4
218,2,4
220,5,6
221,0,2
222,2,4
225,2,4
227,2,4
228,7,3
231,2,4
232,2,2
233,2,4
234,3,6
235,0,4
236,2,4
239,3,6
241,3,6
242,2,2
244,2,4
252,0,4
253,3,4
254,4,4
258,0,4
259,2,6
262,2,4
265,0,4
266,8,5
269,0,4
270,4,6
271,3,4
273,4,6
276,2,4
279,2,4
285,8,5
287,2,4
288,0,4
289,2,4
292,0,4
294,0,2
296,3,8
299,2,4
301,2,4
302,8,5
303,0,2
306,0,4
307,2,4
311,2,4
314,2,4
316,4,4
319,0,4
320,2,2
322,2,4
324,0,2
332,3,8
333,2,4
340,2,2
342,2,4
344,0,4
345,0,4
347,2,4
349,0,4
353,0,2
354,0,4
355,2,4
356,3,4
359,2,2
362,2,4
363,4,4
369,2,4
371,0,4
373,0,4
374,0,4
375,2,4
378,2,2
382,0,4
383,0,4
384,2,4
387,2,4
388,0,4
390,2,4
394,10,6
402,0,2
404,2,4
407,4,8
408,0,2
410,10,6
412,0,4
414,0,4
415,3,6
416,2,4
417,5,6
420,2,4
421,2,4
423,6,4
426,2,4
428,2,4
429,8,5
432,2,4
433,4,6
436,2,4
440,0,2
441,2,4
443,2,4
444,2,4
445,0,2
447,0,4
448,0,4
449,2,2
453,2,4
456,2,2
457,0,4
458,2,4
459,2,4
460,2,4
461,2,4
462,0,2
466,12,9
469,0,4
471,0,4
474,2,4
477,0,4
478,2,4
480,2,4
482,2,2
485,2,4
488,0,4
489,2,4
490,2,4
492,3,6
493,2,2
496,0,4
500,10,6
501,2,4
502,9,5
513,0,4
514,2,2
515,0,4
517,2,4
523,2,4
527,9,5
530,0,4
533,0,4
535,2,4
537,5,6
538,0,4
543,2,2
544,2,4
547,2,2
548,9,5
549,0,4
550,0,4
551,0,4
553,0,4
554,2,4
555,2,4
558,2,4
560,0,4
561,2,4
564,4,8
566,3,4
567,7,8
568,0,2
571,2,4
572,3,4
573,2,4
576,2,4
577,3,6
578,2,4
579,2,4
580,2,4
581,2,4
582,2,2
583,4,6
584,0,2
586,2,4
587,2,4
588,2,4
591,3,6
596,4,6
598,0,4
599,10,5
600,2,4
602,2,4
606,2,4
609,4,6
611,2,4
614,10,5
618,2,4
622,2,4
623,2,4
626,2,4
627,2,4
631,4,4
633,2,4
635,2,4
636,0,4
639,0,2
640,2,4
641,3,4
645,0,4
647,2,4
648,2,4
649,2,4
650,2,4
651,7,4
652,2,4
653,0,2
654,2,4
656,4,4
657,2,4
658,2,4
659,2,4
661,2,4
662,2,4
663,2,4
667,2,4
668,2,4
669,0,4
673,2,4
674,2,3
679,3,6
681,2,4
682,3,6
686,0,2
687,2,4
688,2,4
689,2,4
690,0,2
692,2,4
694,16,9
695,2,4
697,8,5
701,2,2
702,4,6
706,4,6
708,2,2
710,3,4
712,6,6
714,2,4
715,2,2
717,2,4
718,2,2
720,4,6
725,2,4
726,0,2
730,2,4
731,4,4
732,9,5
734,2,4
735,2,4
737,0,4
738,3,4
740,2,4
741,2,4
746,2,4
748,4,8
753,0,4
754,3,6
757,9,5
758,0,4
759,0,4
760,2,4
761,2,4
767,4,4
768,3,6
771,2,4
772,8,5
775,6,6
782,2,2
783,3,4
784,10,6
785,0,2
787,2,4
789,2,4
790,2,4
791,2,4
792,2,4
793,2,2
795,8,5
797,0,4
798,10,5
799,4,6
800,0,4
806,2,4
807,2,4
808,0,4
811,0,4
812,0,4
813,2,4
814,2,4
815,9,5
816,2,4
818,0,2
820,5,6
822,14,10
823,2,4
827,2,4
828,3,4
829,2,4
834,3,8
835,4,4
836,0,2
838,2,4
846,0,4
847,4,6
849,9,5
850,2,4
851,2,4
852,0,4
857,2,4
858,2,4
859,2,4
860,2,4
862,3,4
863,2,4
864,2,4
868,2,4
869,2,4
877,2,4
878,0,4
881,2,4
882,0,4
885,4,6
887,0,4
888,2,4
889,8,5
891,3,4
898,2,4
903,4,6
904,11,6
906,2,4
907,2,4
908,2,4
909,0,2
910,0,4
911,2,4
913,2,4
916,2,4
920,6,6
924,2,4
925,2,4
927,2,4
928,11,6
932,2,4
933,3,8
934,3,8
935,2,4
936,2,4
940,0,4
942,0,2
943,0,4
944,2,4
945,0,4
948,0,4
949,2,4
958,2,4
959,2,2
961,3,4
962,2,4
964,8,5
965,2,2
967,2,4
968,0,4
970,2,4
973,2,4
974,0,4
976,2,4
977,9,5
978,2,2
979,0,4
981,2,4
984,2,4
986,2,4
989,0,4
990,0,2
993,2,4
994,2,4
997,2,4
999,0,2
1000,0,4
1003,0,4
1006,4,6
1007,2,4
1008,4,3
1009,0,4
1017,2,4
1018,0,2
1019,0,2
1020,2,4
1021,2,4
1027,2,2
1030,2,4
1031,0,4
1033,2,4
1035,0,2
1038,10,5
1040,2,2
1041,0,4
1043,2,4
1044,2,4
1047,0,4
1048,2,2
1049,0,4
1051,0,4
1053,2,4
1054,3,6
1056,2,4
1059,3,4
1061,2,4
1069,2,4
1071,2,4
1073,15,7
1074,3,6
1075,9,5
1076,0,4
1080,4,6
1083,0,4
1084,2,2
1085,2,4
1086,0,2
1087,3,6
1088,2,4
1089,2,4
1090,2,4
1091,0,4
1092,2,4
1095,3,4
1096,2,4
1097,2,4
1098,2,4
1099,0,4
1100,0,2
1101,2,4
1104,0,4
1105,2,4
1108,2,4
1109,2,2
1110,4,4
1111,2,4
1115,0,2
1117,2,4
1119,0,3
1122,2,4
1123,2,4
1124,2,4
1125,2,4
1126,3,4
1127,2,4
1129,2,4
1131,17,9
1133,0,4
1134,0,4
1136,0,4
1137,2,4
1140,0,4
1142,0,4
1144,6,6
1145,2,4
1147,2,2
1150,3,6
1154,2,4
1156,0,4
1158,2,4
1159,2,4
1163,3,4
1165,2,4
1166,2,4
1167,3,4
1170,0,4
1171,4,6
1172,2,4
1173,2,4
1175,6,10
1179,0,4
1183,0,4
1184,2,4
1186,2,4
1187,3,4
1188,2,4
1189,9,5
1191,2,4
1192,2,4
1193,0,4
1195,2,4
1197,14,7
1198,0,4
1203,0,4
1204,0,4
1205,0,2
1209,2,4
1210,0,4
1211,2,4
1213,0,4
1214,9,5
1215,3,4
1217,2,4
1218,2,4
1220,3,8
1223,2,4
1224,2,4
1226,0,4
